WTP,TestDate,RawWaterTotalViolation,wqc_raw_total_min,wqc_raw_total_avg,wqc_raw_total_max
Langat 2,11/2/2022,Ferum/Iron (Fe),0.82,0.89,0.96
Langat 2,11/2/2022,Turbidity,32,46.33,101
Langat 2,11/2/2022,Manganese (Mn),0.07,0.08,0.09
Langat 2,12/2/2022,Color,6,9.5,15
Langat 2,12/2/2022,pH,7.17,7.21,7.27
Langat 2,12/2/2022,Ammonia (NH4),0.02,0.03,0.04
Langat 2,12/2/2022,Ferum/Iron (Fe),0.88,0.89,0.9
Langat 2,12/2/2022,Turbidity,19,25,30
Langat 2,12/2/2022,Manganese (Mn),0.07,0.08,0.09
Langat 2,13/2/2022,Color,4,7.17,11
Langat 2,13/2/2022,pH,7.2,7.28,7.36
Langat 2,13/2/2022,Ammonia (NH4),0.02,0.03,0.04
Langat 2,13/2/2022,Ferum/Iron (Fe),0.91,0.91,0.91
Langat 2,13/2/2022,Turbidity,20,24.17,31
Langat 2,13/2/2022,Manganese (Mn),0.04,0.06,0.08
Langat 2,14/2/2022,Color,9,13.67,22
Langat 2,14/2/2022,pH,7.18,7.25,7.33
Langat 2,14/2/2022,Ammonia (NH4),0.04,0.06,0.07
Langat 2,14/2/2022,Ferum/Iron (Fe),1.05,1.39,1.72
Langat 2,14/2/2022,Turbidity,50,116.5,250
Langat 2,14/2/2022,Manganese (Mn),0.12,0.14,0.16
Langat 2,15/2/2022,Color,12,25.33,32
Langat 2,15/2/2022,pH,7.21,7.27,7.32
Langat 2,15/2/2022,Ammonia (NH4),0.23,0.28,0.33
Langat 2,15/2/2022,Ferum/Iron (Fe),1.95,2.91,3.86
Langat 2,15/2/2022,Turbidity,47,327,553
Langat 2,15/2/2022,Manganese (Mn),0.41,0.6,0.79
Langat 2,16/2/2022,Color,20,26.17,33
Langat 2,16/2/2022,pH,7.04,7.11,7.21
Langat 2,16/2/2022,Ammonia (NH4),0.34,0.35,0.35
Langat 2,16/2/2022,Ferum/Iron (Fe),3.28,3.31,3.34
Langat 2,16/2/2022,Turbidity,278,435,767
Langat 2,16/2/2022,Manganese (Mn),0.31,0.55,0.79
Langat 2,17/2/2022,Color,16,18,24
Langat 2,17/2/2022,pH,7.06,7.09,7.12
Langat 2,17/2/2022,Ammonia (NH4),0.08,0.1,0.12
Langat 2,17/2/2022,Ferum/Iron (Fe),1.64,1.73,1.82
Langat 2,17/2/2022,Turbidity,123,214.67,411
Langat 2,17/2/2022,Manganese (Mn),0.14,0.23,0.32
Langat 2,18/2/2022,Color,17,25.17,29
Langat 2,18/2/2022,pH,7.03,7.09,7.16
Langat 2,18/2/2022,Ammonia (NH4),0.21,0.66,1.1
Langat 2,18/2/2022,Ferum/Iron (Fe),1.99,2.55,3.1
Langat 2,18/2/2022,Turbidity,163,506.5,902
Langat 2,18/2/2022,Manganese (Mn),0.34,0.39,0.43
Langat 2,19/2/2022,Color,8,10.33,14
Langat 2,19/2/2022,pH,7.11,7.16,7.22
Langat 2,19/2/2022,Ammonia (NH4),0.06,0.09,0.11
Langat 2,19/2/2022,Ferum/Iron (Fe),1.04,1.08,1.12
Langat 2,19/2/2022,Turbidity,58,75.5,100
Langat 2,19/2/2022,Manganese (Mn),0.15,0.18,0.2
Langat 2,20/2/2022,Color,9,11,15
Langat 2,20/2/2022,pH,7.1,7.17,7.28
Langat 2,20/2/2022,Ammonia (NH4),0.08,0.12,0.16
Langat 2,20/2/2022,Ferum/Iron (Fe),1.1,1.21,1.32
Langat 2,20/2/2022,Turbidity,95,118.17,156
Langat 2,20/2/2022,Manganese (Mn),0.13,0.18,0.23
Langat 2,21/2/2022,Color,7,8.33,12
Langat 2,21/2/2022,pH,7.03,7.09,7.15
Langat 2,21/2/2022,Ammonia (NH4),0.07,0.07,0.07
Langat 2,21/2/2022,Ferum/Iron (Fe),0.74,0.8,0.86
Langat 2,21/2/2022,Turbidity,50,66.33,88
Langat 2,21/2/2022,Manganese (Mn),0.1,0.11,0.11
Langat 2,22/2/2022,Color,12,16.33,24
