,wtp,Date,Aluminium_avg,Ammonia_avg,Color_avg,Chlorine_avg,E.coli_avg,Iron_avg,Fluoride_avg,FRChlorine_avg,flow_rate_avg,Manganese_avg,Odor_avg,Taste_avg,Total_coliform_avg,Turbidity_avg,Weather_avg,pH_avg
5311,Sungai Semenyih,10/11/2020,0.19,0.19,16.92,0.0,0.0,1.16,0.0,0.0,0.0,0.07,0.0,0.0,0.0,88.69,0.0,6.82
5312,Sungai Semenyih,10/12/2020,0.21,0.16,17.17,0.0,0.0,1.16,0.0,0.0,0.0,0.08,0.0,0.0,0.0,65.93,0.0,6.77
5313,Sungai Semenyih,10/13/2020,0.2,0.19,15.67,0.0,0.0,0.98,0.0,0.0,0.0,0.07,0.0,0.0,0.0,72.45,0.0,6.74
5314,Sungai Semenyih,10/14/2020,0.19,0.17,15.5,0.0,0.0,1.22,0.0,0.0,0.0,0.08,0.0,0.0,0.0,56.43,0.0,6.74
5315,Sungai Semenyih,10/15/2020,0.18,0.19,15.08,0.0,0.0,0.91,0.0,0.0,0.0,0.08,0.0,0.0,0.0,50.87,0.0,6.64
5316,Sungai Semenyih,10/16/2020,0.19,0.19,15.42,0.0,0.0,0.89,0.0,0.0,0.0,0.08,0.0,0.0,0.0,48.25,0.0,6.59
5317,Sungai Semenyih,10/17/2020,0.18,0.2,15.0,0.0,0.0,0.88,0.0,0.0,0.0,0.08,0.0,0.0,0.0,36.41,0.0,6.53
5318,Sungai Semenyih,10/18/2020,0.18,0.21,15.0,0.0,0.0,0.85,0.0,0.0,0.0,0.06,0.0,0.0,0.0,37.64,0.0,6.51
5319,Sungai Semenyih,10/19/2020,0.2,0.23,15.83,0.0,0.0,1.08,0.0,0.0,0.0,0.06,0.0,0.0,0.0,57.59,0.0,6.62
5320,Sungai Semenyih,10/2/2020,0.37,0.13,19.92,0.0,0.0,2.77,0.0,0.0,0.0,0.04,0.0,0.0,0.0,498.25,0.0,6.55
5321,Sungai Semenyih,10/20/2020,0.19,0.23,16.0,0.0,0.0,0.99,0.0,0.0,0.0,0.04,0.0,0.0,0.0,61.18,0.0,6.54
5322,Sungai Semenyih,10/21/2020,0.24,0.21,18.25,0.0,0.0,1.03,0.0,0.0,0.0,0.05,0.0,0.0,0.0,142.73,0.0,6.5
5323,Sungai Semenyih,10/22/2020,0.26,0.15,17.0,0.0,0.0,1.6,0.0,0.0,0.0,0.04,0.0,0.0,0.0,147.88,0.0,6.48
