WTP,n_wtp,Code,Description,Amount per month (RM),Production (m3 per month),UnitCost (cent per m3),Month,Year
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,7513,63109,11.90479963,8,2020
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,656171.75,18663888,3.515729145,8,2020
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,4815,42647,11.2903604,8,2020
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,153971,555273,27.72888291,8,2020
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,4306,59175,7.276721589,8,2020
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,34690.86,1185824,2.925464487,8,2020
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,44396.5,514334,8.631842344,9,2020
Batang Kali,Batang Kali,70110100,Chemical Consumed,27996,184035,15.21232374,9,2020
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,77763.6,1074918,7.234375087,9,2020
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,117831,3313750,3.555820445,9,2020
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,109177.33,495956,22.01351128,9,2020
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,47920.25,684459,7.001186338,9,2020
Kalumpang,Kalumpang,70110100,Chemical Consumed,7887.5,151899,5.19259508,9,2020
Kepong,Kepong,70110100,Chemical Consumed,2866,51983,5.5133409,9,2020
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,8064.38,186752,4.318229524,9,2020
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,98273.45,1620640,6.063866744,9,2020
Langat 2,Langat 2,70110100,Chemical Consumed,581897.7,12858855,4.525268385,9,2020
North Hummock,North Hummock,70110100,Chemical Consumed,49406.84,446079,11.07580496,9,2020
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,48960.85,826719,5.922308547,9,2020
Rasa,Rasa,70110100,Chemical Consumed,302.9,6409492,0.004725804,9,2020
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,10738.75,101943,10.53407296,9,2020
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,172584.15,2649548,6.513720453,9,2020
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,114327.6,3962335,2.885359264,9,2020
Sungai Buaya,NA,70110100,Chemical Consumed,184,NULL,NULL,9,2020
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,5083,42142,12.06160125,9,2020
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,40243.75,880470,4.570712233,9,2020
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,65061.24,2329526,2.792896066,9,2020
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,291504.86,7292079,3.997554881,9,2020
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,6770,166244,4.072327422,9,2020
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,4368,111254,3.92615097,9,2020
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,12421.15,230257,5.394472264,9,2020
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,1408,9558,14.7311153,9,2020
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,421465.1,26927554,1.565181524,9,2020
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1466596.4,28236096,5.194048072,9,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,77438.79,26352254,0.293860214,3,2022
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,6645,59442,11.17896437,9,2020
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,673392.7,18447275,3.650364078,9,2020
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,4251,39046,10.88715874,9,2020
