WTP,n_wtp,Code,Description,Amount per month (RM),Production (m3 per month),UnitCost (cent per m3),Month,Year
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,4767.3,40589,11.74530045,2,2022
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,33385.8,844201,3.954721684,2,2022
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,56920.68,1929361.5,2.950234054,2,2022
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,335225.58,8107729,4.134642142,2,2022
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,8029.4,154398,5.200455964,2,2022
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,4147.2,94691,4.379719298,2,2022
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,8598,195537,4.397121772,2,2022
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,1012.5,5740,17.63937282,2,2022
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,538525.06,28073264,1.918284457,2,2022
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1446786.42,27664850,5.229691901,2,2022
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,26062642,,10,2021
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,6098.6,43241,14.10374413,2,2022
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,534798.06,16069482,3.328035465,2,2022
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,3727.5,38464,9.690879784,2,2022
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,100418.4,422866,23.74709719,2,2022
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,5298.6,51278,10.33308631,2,2022
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,24289.03,1072231,2.26527959,2,2022
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,29742,288744,10.30047378,3,2022
Batang Kali,Batang Kali,70110100,Chemical Consumed,35466.7,136530,25.97722112,3,2022
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,79042.79,1190591,6.638954099,3,2022
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,70391.72,2614476,2.692383483,3,2022
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,48318.18,376615,12.82959521,3,2022
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,51198.5,588260,8.703379458,3,2022
Kalumpang,Kalumpang,70110100,Chemical Consumed,6977.2,152273,4.582033584,3,2022
Kepong,Kepong,70110100,Chemical Consumed,1506.2,29582,5.091609763,3,2022
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,10694.6,206542,5.177929913,3,2022
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,258500.08,3823570,6.760699556,3,2022
Langat 2,Langat 2,70110100,Chemical Consumed,598958.9,11134222,5.37944097,3,2022
North Hummock,North Hummock,70110100,Chemical Consumed,32503.05,414045,7.850124986,3,2022
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,53606.76,1007697,5.319730038,3,2022
Rasa,Rasa,70110100,Chemical Consumed,9422.61,7021749,0.13419178,3,2022
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,12861.9,147651,8.711014487,3,2022
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,125952.44,2809089,4.483746866,3,2022
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,96217.34,3644382,2.640155176,3,2022
Sungai Buaya,NA,70110100,Chemical Consumed,0,NULL,NULL,3,2022
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,3737.4,44419,8.413966996,3,2022
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,47226.75,961463,4.911967491,3,2022
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,61587.14,2136463,2.882668223,3,2022
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,472659.35,9072692,5.209692449,3,2022
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,7789.4,169588,4.593131589,3,2022
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,4147.2,103903,3.99141507,3,2022
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,11412,222667,5.125142028,3,2022
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,610,6355,9.598741149,3,2022
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,631962.64,31118078,2.030853705,3,2022
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1636595.5,30706715,5.32976419,3,2022
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,24867309,0,11,2020
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,7183.6,47313,15.18314205,3,2022
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,625615.14,17837765,3.507250712,3,2022
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,4491.25,42217,10.63848687,3,2022
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,133493.4,464512,28.73841795,3,2022
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,5108.6,55213,9.252531107,3,2022
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,34818.42,1172788,2.968858822,3,2022
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,25587,298440,8.57358263,4,2022
Batang Kali,Batang Kali,70110100,Chemical Consumed,29939.3,128669,23.26846404,4,2022
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,73626.27,1176098,6.26021556,4,2022
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,74542.04,2521539,2.956212059,4,2022
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,46807.54,366713,12.76407981,4,2022
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,49517.5,583270,8.489636018,4,2022
Kalumpang,Kalumpang,70110100,Chemical Consumed,7462.1,148944,5.01000376,4,2022
Kepong,Kepong,70110100,Chemical Consumed,7362,30102,24.45684672,4,2022
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,11135.8,198773,5.602269926,4,2022
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,296798.22,3758350,7.897035135,4,2022
Langat 2,Langat 2,70110100,Chemical Consumed,512406.58,11006321,4.655566379,4,2022
North Hummock,North Hummock,70110100,Chemical Consumed,26184.34,392984,6.662953199,4,2022
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,54624.15,973721,5.609835877,4,2022
Rasa,Rasa,70110100,Chemical Consumed,10294.74,6934934,0.148447556,4,2022
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,10914.6,139658,7.815234358,4,2022
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,123939.46,2737652,4.527217484,4,2022
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,111562.62,3950327,2.824136331,4,2022
Sungai Buaya,NA,70110100,Chemical Consumed,0,NULL,NULL,4,2022
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,4547.4,43376,10.48367761,4,2022
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,41271.75,953219,4.32972381,4,2022
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,58964.31,2045387,2.882794796,4,2022
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,415402.06,8191238,5.071297648,4,2022
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,8291.9,167609,4.947168708,4,2022
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,4387.2,103336,4.245567856,4,2022
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,13151.6,212813,6.179885627,4,2022
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,1601.2,7314,21.89226142,4,2022
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,539550.07,30159585,1.788983734,4,2022
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1537401.5,30284936,5.076456163,4,2022
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,24873591,,11,2021
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,6217.4,43775,14.20308395,4,2022
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,602616.13,17519746,3.43963965,4,2022
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,4600,41374,11.11809349,4,2022
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,105545.4,463194,22.78643506,4,2022
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,4826.1,50249,9.604370236,4,2022
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,29339.81,1189428,2.466715934,4,2022
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,28128,317189,8.86789895,5,2022
Batang Kali,Batang Kali,70110100,Chemical Consumed,33896.6,133141,25.45917486,5,2022
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,72906.57,1238261,5.887819289,5,2022
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,50614.08,2963587,1.707865502,5,2022
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,54039.01,392132,13.78082125,5,2022
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,44192.75,581704,7.597119841,5,2022
Kalumpang,Kalumpang,70110100,Chemical Consumed,7882.1,157877,4.992557497,5,2022
Kepong,Kepong,70110100,Chemical Consumed,1556.2,31405,4.955261901,5,2022
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,10733.3,205974,5.210997505,5,2022
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,296117.6,3929255,7.536227605,5,2022
Langat 2,Langat 2,70110100,Chemical Consumed,504514.34,11432990,4.412794378,5,2022
North Hummock,North Hummock,70110100,Chemical Consumed,30825.73,392116,7.861380306,5,2022
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,53475.81,1044960,5.117498277,5,2022
Rasa,Rasa,70110100,Chemical Consumed,12717.26,7209947,0.17638493,5,2022
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,10554.6,151963,6.945506472,5,2022
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,131298.75,2813219,4.667206854,5,2022
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,101476.59,3875521,2.618398662,5,2022
Sungai Buaya,NA,70110100,Chemical Consumed,0,NULL,NULL,5,2022
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,4748.6,50585,9.387367797,5,2022
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,43563,969437,4.493639092,5,2022
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,60126.07,2161761.5,2.781346138,5,2022
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,373936.81,8194889,4.563049115,5,2022
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,7934.4,170650,4.649516554,5,2022
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,4387.2,106253,4.129012828,5,2022
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,10307.25,220094,4.68311267,5,2022
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,1546.2,8077,19.14324625,5,2022
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,528004.57,30573824,1.726982434,5,2022
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1358468.28,31060945,4.373557469,5,2022
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,26008909,0,12,2020
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,6693.6,44127,15.16894418,5,2022
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,635077.52,18311975,3.468099536,5,2022
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,5212.5,46626,11.17938489,5,2022
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,114180.6,501874,22.75084981,5,2022
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,4753.6,51808,9.175416924,5,2022
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,28190.7,1164332,2.421190863,5,2022
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,25743,309567,8.315808856,6,2022
Batang Kali,Batang Kali,70110100,Chemical Consumed,31831.7,125953,25.27268108,6,2022
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,74201.77,1104730,6.7167335,6,2022
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,94722.82,3262056,2.903776637,6,2022
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,45479.7,365235,12.45217463,6,2022
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,45379.75,581895,7.79861487,6,2022
Kalumpang,Kalumpang,70110100,Chemical Consumed,8014.6,157475,5.089442769,6,2022
Kepong,Kepong,70110100,Chemical Consumed,2282.4,32285,7.069536937,6,2022
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,10455.8,196468,5.32188448,6,2022
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,307418.16,3730152,8.241437882,6,2022
Langat 2,Langat 2,70110100,Chemical Consumed,512776.4,11749738,4.364151779,6,2022
North Hummock,North Hummock,70110100,Chemical Consumed,25555.34,336125,7.602927482,6,2022
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,57986.63,1056378,5.489193262,6,2022
Rasa,Rasa,70110100,Chemical Consumed,13036.77,6943114,0.187765461,6,2022
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,10337.1,142490,7.254614359,6,2022
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,125907.24,2843655,4.427655254,6,2022
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,106188.86,3740029,2.839252316,6,2022
Sungai Buaya,NA,70110100,Chemical Consumed,0,NULL,NULL,6,2022
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,4626.1,43247,10.69692695,6,2022
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,39318,955355,4.115538203,6,2022
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,50528.95,2043417.5,2.472766823,6,2022
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,344303.85,7466748,4.611162048,6,2022
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,6792,166717,4.073969661,6,2022
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,4147.2,113475,3.654725711,6,2022
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,10904,212160,5.139517345,6,2022
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,897.5,11351,7.906792353,6,2022
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,497576.5,29709910,1.674782926,6,2022
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1343978.5,30971364,4.339423023,6,2022
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,25778660,,12,2021
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,6718.6,40277,16.68098418,6,2022
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,666032.97,18668367,3.567708788,6,2022
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,5087.5,44041,11.55173588,6,2022
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,121388.4,496570,24.44537527,6,2022
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,4646.1,46918,9.902596019,6,2022
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,23467.11,1152036,2.037011864,6,2022
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1315802.2,30957989,4.250283182,3,2020
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1747907.7,29696001,5.886003641,4,2020
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1659599.15,32221471,5.150600201,5,2020
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1629731.76,31116226,5.237562422,6,2020
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1704917.2,32149151,5.303148441,7,2020
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1682871.35,31523310,5.338498241,8,2020
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1466596.4,28236096,5.194048072,9,2020
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1509301.7,30231353,4.992504636,10,2020
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1478276.05,28706561,5.149610397,11,2020
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1437721.9,29972569,4.79679236,12,2020
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1364411.45,29904794,4.562517468,1,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1268785.93,27709543,4.57887714,2,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1419705.75,31061426,4.57063932,3,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1571129.55,30442417,5.160988203,4,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1685743.6,31707823,5.316491138,5,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1502770.25,30356954,4.950332797,6,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1376119,30292093,4.542832349,7,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1523534.5,31019137,4.911595381,8,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1435673.6,29866405,4.806984972,9,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1442563.6,29956983,4.815450207,10,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1418528.95,29360649,4.831395076,11,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1423004.75,30078466,4.730975143,12,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1485916.64,30168280,4.925427104,1,2022
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1446786.42,27664850,5.229691901,2,2022
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1636595.5,30706715,5.32976419,3,2022
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1537401.5,30284936,5.076456163,4,2022
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1358468.28,31060945,4.373557469,5,2022
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream D,70110100,Chemical Consumed,1343978.5,30971364,4.339423023,6,2022
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,25794876,,1,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,9716.6,26377036,0.036837346,1,2022
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,23638496,,2,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,64469.96,23280025,0.27693252,2,2022
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,25389900,0,3,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,26088144,,3,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,77438.79,26352254,0.293860214,3,2022
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,24223604,0,4,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,25657888,,4,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,77953.08,25731979,0.30294242,4,2022
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,25587818,0,5,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,26349429,,5,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,66863.83,25884089,0.258320198,5,2022
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,24204155,0,6,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,25372289,,6,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,65433.61,25589498,0.255704938,6,2022
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,24147690,0,7,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,25841795,,7,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,25301521,0,8,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,26510111,,8,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,24227859,0,9,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,25456352,,9,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,25750671,0,10,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,26062642,,10,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,24867309,0,11,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,24873591,,11,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,26008909,0,12,2020
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 2,70110100,Chemical Consumed,0,25778660,,12,2021
