wtp,Date,Liquid Polyaluminium Chloride (mg/L) _avg,Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L) _avg,Hydrated Lime (Post) (mg/L) _avg,Liquid Chlorine (Post) (mg/L) _avg,Sodium Silico Fluoride (mg/L) _avg,Liquid Chlorine (Pre) (mg/L) _avg,Hydrated Lime (Pre) (mg/L) _avg
Rasa,17/12/2021,26.53,0.04,9.41,3.14,0,,
Rasa,18/12/2021,33.9,0.04,10.6,3.14,2.29,,
Rasa,19/12/2021,35.41,0.04,7.55,2.74,0,,
Rasa,20/12/2021,34.41,0.04,10.61,2.72,0,,
Rasa,21/12/2021,30.49,0.06,5.12,2.81,0,,
Rasa,22/12/2021,24.87,0.02,4.78,2.84,0.67,,
Rasa,23/12/2021,27.73,0.05,9.94,3.28,1.03,,
Rasa,24/12/2021,28.62,0.05,5.33,2.86,0,,
Rasa,25/12/2021,26.75,0.05,10.46,3.06,0,,
Rasa,26/12/2021,26.65,0.03,7.51,2.88,0,,
Rasa,27/12/2021,23.87,0.04,7.33,2.66,2.06,,
Rasa,28/12/2021,25.99,0.05,10.04,2.88,0.9,,
Rasa,29/12/2021,23.75,0.06,7.6,3.16,0,,
Rasa,30/12/2021,26.98,0.05,4.89,2.75,0,,
Rasa,31/12/2021,26.38,0.05,10.88,2.99,0.79,,
Sungai Selangor Fasa 3,1/1/2021,32.57619686,0.06291115,7.176783437,4.356124107,0.515,1.317927424,2.454406953
Sungai Selangor Fasa 3,2/1/2021,36.67710494,0.071670937,7.0486742,4.515205448,0.535,1.163300575,2.365540573
Sungai Selangor Fasa 3,3/1/2021,33.70457392,0.052167224,7.080133805,3.737522542,0.51,1.280130045,2.376369468
Sungai Selangor Fasa 3,4/1/2021,34.8093828,0.066605662,7.632773875,3.859849592,0.515,1.605059658,2.499583817
Sungai Selangor Fasa 3,5/1/2021,25.86767956,0.072855143,7.237258925,4.030343008,0.525,1.972295515,1.637924847
Sungai Selangor Fasa 3,6/1/2021,35.43781517,0.071048781,6.758531875,3.973292193,0.525,1.165937429,1.757281584
Sungai Selangor Fasa 3,7/1/2021,31.21938622,0.070522011,6.806251536,4.390036937,0.52,0.749975042,1.762604795
Sungai Selangor Fasa 3,8/1/2021,29.26864342,0.068474306,6.340249346,4.406009189,0.515,1.031917738,1.597400475
Sungai Selangor Fasa 3,9/1/2021,28.5701977,0.071788638,6.424490566,4.112968907,0.53,1.59416471,1.530022676
Sungai Selangor Fasa 3,10/1/2021,27.94259608,0.071892863,6.076166899,2.118572902,0.515,1.492358262,1.593947319
Sungai Selangor Fasa 3,11/1/2021,27.69426787,0.071312242,6.147472305,4.249033219,0.5,1.397929527,1.633309059
Sungai Selangor Fasa 3,12/1/2021,25.13115176,0.058598589,5.786648698,4.416999375,0.515,1.702823609,1.541611423
Sungai Selangor Fasa 3,13/1/2021,24.22719633,0.066255818,5.425435168,4.423702276,0.54,1.792123329,1.542684118
Sungai Selangor Fasa 3,14/1/2021,25.0950543,0.068736905,5.710211014,4.465211563,0.55,1.981587799,1.704969988
Sungai Selangor Fasa 3,15/1/2021,26.0096743,0.068085816,5.558141204,5.004687654,0.535,1.486479818,1.697618432
Sungai Selangor Fasa 3,16/1/2021,27.40816191,0.068267332,5.629716741,5.216054739,0.55,1.40069911,1.70754842
