Month,WTP,New WTP,SIpH,SIDO,SISS,SIBOD,SICOD,SIAN,WQI
12/31/2021,SG SIREH,Sungai Sireh,97.089875,78.3819146,80.13405701,98.4965,51.23816588,81.6,80.9
12/31/2021,SG LANGAT,Sungai Langat,99.488917,91.5758048,86.69796706,86.441,91.652,75.39796886,88.4
12/31/2021,BUKIT TAMPOI,Bukit Tampoi New,94.206208,77.1171886,72.03654057,84.326,81.012,58.00015204,77.5
12/31/2021,CHERAS MILE 11,Cheras Batu 11,99.072292,73.5901408,81.10304756,91.2632,92.051,77.17911705,84.7
12/31/2021,SALAK TINGGI,Salak Tinggi,99.356093,34.3735454,69.17271037,88.3868,86.598,84.19192115,73.8
12/31/2021,SG PANGSOON,Sungai Pangsoon,98.611357,100,94.50957173,93.4205,96.041,92.1,95.9
12/31/2021,SG LOLO,Sungai Lolo - Baru,98.948755,100,96.89312275,98.5811,89.79,87.9,95.7
12/31/2021,SG SERAI,Sungai Serai,96.196612,100,96.89312275,95.3663,96.706,85.8,95.5
12/31/2021,BUKIT NANAS,Bukit Nanas,98.829557,2.6248272,96.89312275,95.9585,90.322,86.65203084,73.6
12/31/2021,SG BATU,Sungai Batu,98.042368,100,96.29067101,95.8316,93.381,84.67889208,95
12/31/2021,GOMBAK,Sungai Gombak,93.517595,100,94.50957173,96.8045,97.637,87.9,95.5
12/31/2021,AMPANG INTAKE,Ampang Intake,87.878,100,90.5030959,97.6082,97.371,81.6,93.4
12/31/2021,SG RANGKAP,Sungai Rangkap,92.510795,100,95.69261497,96.593,97.504,81.6,94.6
12/31/2021,KEPONG,Kepong,93.991955,100,96.89312275,99.2579,92.45,85.8,95.3
12/31/2021,SG RUMPUT,Sungai Rumput,97.932155,100,91.62683962,97.1852,88.593,90,94.6
12/31/2021,WANGSA MAJU,Wangsa Maju,97.525117,59.5948474,92.76724071,93.632,93.78,80.85223858,84.6
12/31/2021,SG SEMENYIH,Sungai Semenyih,95.581168,56.0390986,89.94740053,88.3445,90.322,87.9,82.6
12/31/2021,SG LABU,Sungai Labu,99.648133,43.6178,95.69261497,88.5137,87.795,88.95,81.1
12/31/2021,SEMENYIH 2,Semenyih 2,99.35,61.3563922,95.09892502,86.2295,87.662,82.65,83.4
12/31/2021,SSP 1,Sungai Selangor Fasa 1,96.932555,85.4167106,42.57849767,95.7047,81.411,84.75,81.2
12/31/2021,RASA,Rasa,99.072292,84.0923498,81.10304756,99.5963,97.504,87.9,91.1
12/31/2021,SSP 3 BKT BDG,Sungai Selangor Fasa 3 Stage 1,98.90942,39.0265822,50.13346927,97.5236,83.007,85.8,73.2
12/31/2021,LANGAT 2,Langat 2,99.159355,94.9744,89.39578585,88.2176,95.243,79.5,91
12/31/2021,LABOHAN DAGANG,Labohan Dagang,94.802453,79.0052176,96.89312275,90.6287,87.263,85.8,88.3
12/31/2022,Sungai Sireh,Sungai Sireh,,,,,,,67.5
12/31/2022,Bernam River Headworks,Bernam River Headworks,,,,,,,88
12/31/2022,RANTAU PANJANG,Rantau Panjang New,,,,,,,82.9
12/31/2022,North Hummock,North Hummock,,,,,,,76.7
12/31/2022,Batang Kali,Batang Kali,,,,,,,90.2
12/31/2022,Kuala Kubu Baru,Kuala Kubu Bharu,,,,,,,94.5
12/31/2022,Kalumpang,Kalumpang,,,,,,,96
12/31/2022,Sungai Selisek,Sungai Selisek,,,,,,,85.6
12/31/2022,Sungai Dusun,Sungai Dusun,,,,,,,93.8
12/31/2022,Sungai Tengi,Sungai Tengi,,,,,,,93.6
12/31/2022,Wangsa Maju,Wangsa Maju,,,,,,,78.1
12/31/2022,Bukit Nanas,Bukit Nanas,,,,,,,75.2
12/31/2022,Sungai Batu,Sungai Batu,,,,,,,79.6
12/31/2022,Sungai Gombak,Sungai Gombak,,,,,,,92.6
12/31/2022,Ampang Intake,Ampang Intake,,,,,,,92.7
12/31/2022,Sungai Rangkap,Sungai Rangkap,,,,,,,94.5
12/31/2022,Kepong,Kepong,,,,,,,94.1
12/31/2022,Sungai Rumput,Sungai Rumput,,,,,,,93.3
12/31/2022,Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,,,,,,,77
10/31/2022,Sungai Selangor Fasa 2 Stream C,Sungai Selangor Fasa 2 Stream D,,,,,,,80.5
12/31/2022,Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,,,,,,,84.8
12/31/2022,Rasa,Rasa,,,,,,,91.2
12/31/2022,Bukit Tampoi,Bukit Tampoi,,,,,,,88
12/31/2022,Salak Tinggi,Salak Tinggi,,,,,,,73.1
12/31/2022,Sungai Semenyih,Sungai Semenyih,,,,,,,83.5
12/31/2022,Sungai Labu,Sungai Labu,,,,,,,85.2
12/31/2022,Semenyih 2,Semenyih 2,,,,,,,82.2
12/31/2022,Labohan Dagang,Labohan Dagang,,,,,,,91.4
12/31/2022,Sungai Langat,Sungai Langat,,,,,,,91.7
12/31/2022,Cheras Batu 11,Cheras Batu 11,,,,,,,78.9
12/31/2022,Sungai Pangsoon,Sungai Pangsoon,,,,,,,93.5
12/31/2022,Sungai Lolo,Sungai Lolo,,,,,,,92.3
12/31/2022,Sungai Serai,Sungai Serai,,,,,,,95.9
12/31/2022,Langat 2,Langat 2,,,,,,,91.2
12/31/2022,Intake Semantan (Langat 2),Intake Semantan (Langat 2),,,,,,,86.8
2/28/2021,Bernam River Headworks,Bernam River Headworks (New),97.01182,97.0171472,80.13405701,98.0735,86.066,92.1,92
2/28/2021,Rantau Panjang,Rantau Panjang New,96.853933,85.3080544,77.31244979,91.7708,88.992,69.85249743,84.9
2/28/2021,North Hummock,North Hummock,99.072292,3.0277738,72.88305864,96.5084,73.23136262,81.6,66.5
2/28/2021,Batang Kali,Batang Kali,98.611357,95.1092304,97.5,93.4628,94.312,94.2,95.3
2/28/2021,Kuala Kubu Bharu,Kuala Kubu Bharu,97.115632,100,95.09892502,97.3967,92.051,96.3,96.5
2/28/2021,Kalumpang,Kalumpang,99.648133,100,95.69261497,97.7351,86.864,98.4,96.5
2/28/2021,Selisek,Sungai Selisek,98.611357,87.5219626,87.22958698,85.8488,88.46,87.9,88.7
2/28/2021,Sungai Dusun,Sungai Dusun,97.7548,96.1822262,95.69261497,85.4258,86.864,85.8,91.2
2/28/2021,Sungai Tengi,Sungai Tengi,98.777008,100,92.76724071,88.5983,92.184,87.9,93.5
11/30/2021,SSP2,Sungai Selangor Fasa 2 Stream C,98.694595,45.858125,90.5030959,97.2698,86.864,71.10007401,79.5
2/28/2021,Sungai Sireh,Sungai Sireh,89.098693,71.7026384,94.50957173,89.4866,59.83173134,86.65203084,81.2
2/28/2021,Sungai Langat,Sungai Langat,98.9792,73.9896382,85.6464563,89.2328,88.194,82.74593147,85.3
2/28/2021,Bukit Tampoi,Bukit Tampoi New,98.287955,54.846425,45.03801892,95.8739,76.49,69.44081134,71.9
2/28/2021,Cheras Batu 11,Cheras Batu 11,98.4337,32.9435794,77.31244979,86.441,87.13,47.21886234,68.9
