wtp,Date,Column2,Column3,Year,Month,ChemicalCode,ChemicalName,TotalMTConsumed,UnitPrice,TotalRMAmount,Column1
Kalumpang,1/6/2022,6,2022,2022,6,F01,Sodium Silico Fluoride (25kg / bag),0.1,3600,360,June
Kalumpang,1/7/2022,7,2022,2022,7,B04,Soda Ash (25kg / bag),1.475,1900,2802.5,July
Kalumpang,1/7/2022,7,2022,2022,7,C02,Liquid Chlorine (68kg / Cylinder),0.544,8400,4569.6,July
Kalumpang,1/5/2022,5,2022,2022,5,A02,Kibbled Aluminium Sulphate (50kg / bag),0.35,1200,420,May
Kalumpang,1/5/2022,5,2022,2022,5,B04,Soda Ash (25kg / bag),1.175,1900,2232.5,May
Kalumpang,1/5/2022,5,2022,2022,5,C02,Liquid Chlorine (68kg / Cylinder),0.544,8400,4569.6,May
Kalumpang,1/5/2022,5,2022,2022,5,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,May
Kalumpang,1/5/2022,5,2022,2022,5,F01,Sodium Silico Fluoride (25kg / bag),0.1,3600,360,May
Kalumpang,1/6/2022,6,2022,2022,6,A02,Kibbled Aluminium Sulphate (50kg / bag),0.5,1200,600,June
Kalumpang,1/3/2022,3,2022,2022,3,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,March
Kalumpang,1/3/2022,3,2022,2022,3,F01,Sodium Silico Fluoride (25kg / bag),0.1,3600,360,March
Kalumpang,1/4/2022,4,2022,2022,4,B04,Soda Ash (25kg / bag),1.175,1900,2232.5,April
Kalumpang,1/4/2022,4,2022,2022,4,C02,Liquid Chlorine (68kg / Cylinder),0.544,8400,4569.6,April
Kalumpang,1/4/2022,4,2022,2022,4,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,April
Kalumpang,1/4/2022,4,2022,2022,4,F01,Sodium Silico Fluoride (25kg / bag),0.1,3600,360,April
Kalumpang,1/2/2022,2,2022,2022,2,C02,Liquid Chlorine (68kg / Cylinder),0.544,8400,4569.6,February
Kalumpang,1/2/2022,2,2022,2022,2,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,February
Kalumpang,1/2/2022,2,2022,2022,2,F01,Sodium Silico Fluoride (25kg / bag),0.125,3600,450,February
Kalumpang,1/3/2022,3,2022,2022,3,A02,Kibbled Aluminium Sulphate (50kg / bag),0.35,1200,420,March
Kalumpang,1/3/2022,3,2022,2022,3,B04,Soda Ash (25kg / bag),1.3,1900,2470,March
Kalumpang,1/3/2022,3,2022,2022,3,C02,Liquid Chlorine (68kg / Cylinder),0.408,8400,3427.2,March
Kuala Kubu Bharu,1/1/2022,1,2022,2022,1,A02,Kibbled Aluminium Sulphate (50kg / bag),0.1,1200,120,January
Kuala Kubu Bharu,1/1/2022,1,2022,2022,1,B04,Soda Ash (25kg / bag),1.75,1900,3325,January
Kuala Kubu Bharu,1/1/2022,1,2022,2022,1,C02,Liquid Chlorine (68kg / Cylinder),0.544,8400,4569.6,January
Kuala Kubu Bharu,1/1/2022,1,2022,2022,1,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,January
Kuala Kubu Bharu,1/1/2022,1,2022,2022,1,F01,Sodium Silico Fluoride (25kg / bag),0.15,3600,540,January
Kuala Kubu Bharu,1/2/2022,2,2022,2022,2,A02,Kibbled Aluminium Sulphate (50kg / bag),0.9,1200,1080,February
Kuala Kubu Bharu,1/12/2022,12,2022,2022,12,F01,Sodium Silico Fluoride (25kg / bag),0.1,3600,360,December
Kuala Kubu Bharu,1/12/2022,12,2022,2022,12,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,December
Kuala Kubu Bharu,1/11/2022,11,2022,2022,11,B04,Soda Ash (25kg / bag),2.4,1900,4560,November
Kuala Kubu Bharu,1/11/2022,11,2022,2022,11,C02,Liquid Chlorine (68kg / Cylinder),0.544,8400,4569.6,November
Kuala Kubu Bharu,1/11/2022,11,2022,2022,11,F01,Sodium Silico Fluoride (25kg / bag),0.125,3600,450,November
Kuala Kubu Bharu,1/12/2022,12,2022,2022,12,B04,Soda Ash (25kg / bag),1.9,1900,3610,December
Kuala Kubu Bharu,1/12/2022,12,2022,2022,12,A02,Kibbled Aluminium Sulphate (50kg / bag),1.5,1200,1800,December
Kuala Kubu Bharu,1/12/2022,12,2022,2022,12,C02,Liquid Chlorine (68kg / Cylinder),0.68,8400,5712,December
Kuala Kubu Bharu,1/10/2022,10,2022,2022,10,A02,Kibbled Aluminium Sulphate (50kg / bag),1.6,1200,1920,October
Kuala Kubu Bharu,1/10/2022,10,2022,2022,10,B04,Soda Ash (25kg / bag),2.25,1900,4275,October
Kuala Kubu Bharu,1/10/2022,10,2022,2022,10,C02,Liquid Chlorine (68kg / Cylinder),0.476,8400,3998.4,October
Kuala Kubu Bharu,1/10/2022,10,2022,2022,10,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,October
Kuala Kubu Bharu,1/10/2022,10,2022,2022,10,F01,Sodium Silico Fluoride (25kg / bag),0.125,3600,450,October
Kuala Kubu Bharu,1/11/2022,11,2022,2022,11,A02,Kibbled Aluminium Sulphate (50kg / bag),1.5,1200,1800,November
Kuala Kubu Bharu,1/8/2022,8,2022,2022,8,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,August
Kuala Kubu Bharu,1/8/2022,8,2022,2022,8,F01,Sodium Silico Fluoride (25kg / bag),0.15,3600,540,August
Kuala Kubu Bharu,1/9/2022,9,2022,2022,9,A02,Kibbled Aluminium Sulphate (50kg / bag),0.8,1200,960,September
Kuala Kubu Bharu,1/9/2022,9,2022,2022,9,B04,Soda Ash (25kg / bag),1.8,1900,3420,September
Kuala Kubu Bharu,1/9/2022,9,2022,2022,9,C02,Liquid Chlorine (68kg / Cylinder),0.612,8400,5140.8,September
Kuala Kubu Bharu,1/9/2022,9,2022,2022,9,F01,Sodium Silico Fluoride (25kg / bag),0.125,3600,450,September
Kuala Kubu Bharu,1/7/2022,7,2022,2022,7,C02,Liquid Chlorine (68kg / Cylinder),0.544,8400,4569.6,July
Kuala Kubu Bharu,1/7/2022,7,2022,2022,7,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,July
Kuala Kubu Bharu,1/7/2022,7,2022,2022,7,F01,Sodium Silico Fluoride (25kg / bag),0.125,3600,450,July
Kuala Kubu Bharu,1/8/2022,8,2022,2022,8,A02,Kibbled Aluminium Sulphate (50kg / bag),1.5,1200,1800,August
Kuala Kubu Bharu,1/8/2022,8,2022,2022,8,B04,Soda Ash (25kg / bag),1.95,1900,3705,August
Kuala Kubu Bharu,1/8/2022,8,2022,2022,8,C02,Liquid Chlorine (68kg / Cylinder),0.68,8400,5712,August
Kuala Kubu Bharu,1/6/2022,6,2022,2022,6,B04,Soda Ash (25kg / bag),1.85,1900,3515,June
Kuala Kubu Bharu,1/6/2022,6,2022,2022,6,C02,Liquid Chlorine (68kg / Cylinder),0.612,8400,5140.8,June
Kuala Kubu Bharu,1/6/2022,6,2022,2022,6,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,June
Kuala Kubu Bharu,1/6/2022,6,2022,2022,6,F01,Sodium Silico Fluoride (25kg / bag),0.15,3600,540,June
Kuala Kubu Bharu,1/7/2022,7,2022,2022,7,A02,Kibbled Aluminium Sulphate (50kg / bag),0.4,1200,480,July
