,New WTP,Month,WQI
335,Sungai Selangor Fasa 3,31/10/2022,77.0
336,Rasa,31/10/2022,91.5
337,Bukit Tampoi,31/10/2022,83.7
338,Salak Tinggi,31/10/2022,76.0
339,Sungai Semenyih,31/10/2022,81.0
340,Sungai Labu,31/10/2022,86.8
341,Semenyih 2,31/10/2022,91.0
342,Labohan Dagang,31/10/2022,87.2
343,Sungai Langat,31/10/2022,91.3
344,Cheras Batu 11,31/10/2022,89.2
345,Sungai Pangsoon,31/10/2022,93.9
346,Sungai Lolo,31/10/2022,89.7
347,Sungai Serai,31/10/2022,90.9
348,Langat 2,31/10/2022,87.9
349,Intake Semantan (Langat 2),31/10/2022,86.7
350,Sungai Sireh,30/11/2022,75.6
351,Bernam River Headworks,30/11/2022,81.8
352,Rantau Panjang,30/11/2022,84.2
353,North Hummock,30/11/2022,87.2
354,Batang Kali,30/11/2022,90.2
355,Kuala Kubu Baru,30/11/2022,91.8
356,Kalumpang,30/11/2022,95.3
357,Sungai Selisek,30/11/2022,86.4
358,Sungai Dusun,30/11/2022,89.9
359,Sungai Tengi,30/11/2022,92.8
360,Wangsa Maju,30/11/2022,78.8
361,Bukit Nanas,30/11/2022,74.0
362,Sungai Batu,30/11/2022,74.4
363,Sungai Gombak,30/11/2022,94.0
364,Ampang Intake,30/11/2022,95.7
365,Sungai Rangkap,30/11/2022,92.8
366,Kepong,30/11/2022,95.7
367,Sungai Rumput,30/11/2022,93.9
368,Sungai Selangor Fasa 1,30/11/2022,79.8
369,Sungai Selangor Fasa 2 Stream C,30/11/2022,86.6
370,Sungai Selangor Fasa 3,30/11/2022,84.8
371,Rasa,30/11/2022,82.2
372,Bukit Tampoi,30/11/2022,89.8
373,Salak Tinggi,30/11/2022,74.4
374,Sungai Semenyih,30/11/2022,82.8
375,Sungai Labu,30/11/2022,86.8
376,Semenyih 2,30/11/2022,85.2
377,Labohan Dagang,30/11/2022,89.5
378,Sungai Langat,30/11/2022,93.1
379,Cheras Batu 11,30/11/2022,91.3
380,Sungai Pangsoon,30/11/2022,84.7
381,Sungai Lolo,30/11/2022,85.7
382,Sungai Serai,30/11/2022,86.2
383,Langat 2,30/11/2022,92.1
384,Intake Semantan (Langat 2),30/11/2022,89.6
385,Sungai Sireh,31/12/2022,67.5
386,Bernam River Headworks,31/12/2022,88.0
387,Rantau Panjang,31/12/2022,82.9
388,North Hummock,31/12/2022,76.7
389,Batang Kali,31/12/2022,90.2
390,Kuala Kubu Baru,31/12/2022,94.5
391,Kalumpang,31/12/2022,96.0
392,Sungai Selisek,31/12/2022,85.6
393,Sungai Dusun,31/12/2022,93.8
394,Sungai Tengi,31/12/2022,93.6
395,Wangsa Maju,31/12/2022,78.1
396,Bukit Nanas,31/12/2022,75.2
397,Sungai Batu,31/12/2022,79.6
398,Sungai Gombak,31/12/2022,92.6
399,Ampang Intake,31/12/2022,92.7
400,Sungai Rangkap,31/12/2022,94.5
401,Kepong,31/12/2022,94.1
402,Sungai Rumput,31/12/2022,93.3
403,Sungai Selangor Fasa 1,31/12/2022,77.0
404,Sungai Selangor Fasa 2 Stream C,31/12/2022,84.6
405,Sungai Selangor Fasa 3,31/12/2022,84.8
406,Rasa,31/12/2022,91.2
407,Bukit Tampoi,31/12/2022,88.0
408,Salak Tinggi,31/12/2022,73.1
409,Sungai Semenyih,31/12/2022,83.5
410,Sungai Labu,31/12/2022,85.2
411,Semenyih 2,31/12/2022,82.2
412,Labohan Dagang,31/12/2022,91.4
413,Sungai Langat,31/12/2022,91.7
414,Cheras Batu 11,31/12/2022,78.9
415,Sungai Pangsoon,31/12/2022,93.5
416,Sungai Lolo,31/12/2022,92.3
417,Sungai Serai,31/12/2022,95.9
418,Langat 2,31/12/2022,91.2
419,Intake Semantan (Langat 2),31/12/2022,86.8
