wtp,Date,Liquid Polyaluminium Chloride (mg/L) _avg,Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L) _avg,Hydrated Lime (Post) (mg/L) _avg,Liquid Chlorine (Post) (mg/L) _avg,Sodium Silico Fluoride (mg/L) _avg,Liquid Chlorine (Pre) (mg/L) _avg,Hydrated Lime (Pre) (mg/L) _avg
Sungai Selangor Fasa 1,18/5/2021,41.55369286,0.074437368,8.266280379,5.267128576,0.944323998,1.284702922,
Sungai Selangor Fasa 1,19/5/2021,50.80009547,0.047377332,11.9935674,5.121562251,0.8414858,1.304074183,
Sungai Selangor Fasa 1,20/5/2021,49.74415374,0.051256202,14.28175912,5.288497168,0.887732226,1.294683504,
Sungai Selangor Fasa 1,21/5/2021,48.1115459,0.05,9.978565758,5.122133659,0.832288976,1.279640654,
Sungai Selangor Fasa 1,22/5/2021,43.24207709,0.048558464,12.04814281,5.658412472,0.758936985,1.292156026,
Sungai Selangor Fasa 1,23/5/2021,43.35212552,0.05,14.08311658,5.798846465,0.865539291,1.300563766,
Sungai Selangor Fasa 1,24/5/2021,38.89964916,0.052384656,12.18074685,5.692885898,0.758652459,1.318562697,
Sungai Selangor Fasa 1,25/5/2021,38.03181257,0.048427754,6.99748983,5.440167745,0.873085959,1.288819282,
Sungai Selangor Fasa 1,26/5/2021,44.09658308,0.05,13.11243062,5.582912345,0.861481753,1.322897493,
Sungai Selangor Fasa 1,27/5/2021,42.50631048,0.047507448,11.97151477,5.36693861,0.766265218,1.264212316,
Sungai Selangor Fasa 1,28/5/2021,41.32450902,0.049195844,10.54870929,5.316805577,0.890666974,1.308506946,
Sungai Selangor Fasa 1,29/5/2021,36.12924696,0.071190921,17.85252424,5.492802572,0.878303578,1.302786668,
Sungai Selangor Fasa 1,30/5/2021,35.04227323,0.048669824,8.081627932,5.569121684,0.758343225,1.296217379,
Sungai Selangor Fasa 1,31/5/2021,36.33267499,0.047031284,11.61744193,5.58054817,0.76066577,1.28375113,
Sungai Selangor Fasa 1,1/6/2021,38.7383038,0.047202092,9.114895307,5.611317333,0.846730107,1.18143885,
Sungai Selangor Fasa 1,2/6/2021,38.74549053,0.048901672,14.12424144,5.621332875,0.912647165,1.196190949,
Sungai Selangor Fasa 1,3/6/2021,36.73612436,0.046558638,14.28954752,5.371433475,0.76956645,1.159000591,
Sungai Selangor Fasa 1,4/6/2021,35.23195491,0.048171385,6.351720943,5.563629973,0.674060768,1.176026977,
Sungai Selangor Fasa 1,5/6/2021,53.38062159,0.074537035,11.58904029,5.343140814,0.659058733,1.178950377,
Sungai Selangor Fasa 1,6/6/2021,41.46802694,0.05,9.765694102,4.598605029,0.740048324,1.192919846,
Sungai Selangor Fasa 1,7/6/2021,34.36478714,0.051770436,11.94962281,3.42341483,0.709910076,1.255815277,
Sungai Selangor Fasa 1,8/6/2021,37.8556464,0.075331371,10.08652056,5.239855938,0.763245401,1.299498801,
Sungai Selangor Fasa 1,9/6/2021,21.68670827,0.04883662,11.00809141,5.06818504,0.780672397,1.301202496,
Sungai Selangor Fasa 1,10/6/2021,36.98543733,0.046703687,9.274822199,5.449245169,0.674097122,1.333551594,
Sungai Selangor Fasa 1,11/6/2021,29.21461614,0.048991228,8.700926555,5.045011572,0.895194619,1.298772053,
Sungai Selangor Fasa 1,12/6/2021,29.40284889,0.050370253,11.64068975,5.37561244,0.747392726,1.257298767,
Sungai Selangor Fasa 1,13/6/2021,34.34889416,0.052732424,9.217087572,5.225727209,0.683906247,1.410316227,
Sungai Selangor Fasa 1,14/6/2021,42.48561444,0.047871404,7.566848052,5.207008876,0.717074594,1.333482111,
Sungai Selangor Fasa 1,15/6/2021,38.24735086,0.05111637,8.905336081,5.200624182,0.955707036,1.194262207,
Sungai Selangor Fasa 1,16/6/2021,37.72279673,0.048928326,8.179341873,5.353669073,0.740693638,1.302298935,
Sungai Selangor Fasa 1,17/6/2021,35.33760971,0.051530604,8.74824518,5.139447874,0.535360067,1.288596338,
Sungai Selangor Fasa 1,18/6/2021,42.62513772,0.048447802,13.18573975,5.419256499,0.790176443,1.354425836,
Sungai Selangor Fasa 1,19/6/2021,31.61126323,0.068949785,10.07459631,4.93171842,0.82408739,1.137701379,
Sungai Selangor Fasa 1,20/6/2021,38.23112368,0.04801819,6.399687318,5.117974176,0.679436094,1.048198586,
Sungai Selangor Fasa 1,21/6/2021,38.81490951,0.049418522,11.68189934,5.279077895,0.666326579,1.078178573,
Sungai Selangor Fasa 1,22/6/2021,32.85631899,0.046983201,7.782283317,5.308634839,0.712584104,1.060642992,
Sungai Selangor Fasa 1,23/6/2021,31.08889469,0.047236691,12.80529011,5.169631099,0.890018196,0.852756329,
Sungai Selangor Fasa 1,24/6/2021,29.32245885,0.075483893,13.51512784,5.050176932,0.742797082,1.066061698,
Sungai Selangor Fasa 1,25/6/2021,29.67448459,0.049457474,9.75404941,5.100928633,0.867959624,1.080084675,
Sungai Selangor Fasa 1,26/6/2021,29.63900691,0.071821921,11.06418959,5.160127919,0.822995308,1.185560276,
Sungai Selangor Fasa 1,27/6/2021,30.3981984,0.075753486,10.16626022,5.239773096,0.913540407,1.067366819,
Sungai Selangor Fasa 1,28/6/2021,34.8810016,0.047898973,11.55554096,5.228619263,0.831564865,1.193232018,
Sungai Selangor Fasa 1,29/6/2021,42.89976877,0.052602228,14.2209262,5.017117921,0.823470162,1.14634004,
Sungai Selangor Fasa 1,30/6/2021,38.23718037,0.04721085,9.14014439,5.276963677,0.876803736,1.06715635,
Sungai Selangor Fasa 1,1/7/2021,41.59915807,0.078296765,11.1000942,5.487351893,0.885455558,1.110149157,
Sungai Selangor Fasa 1,2/7/2021,33.51644025,0.05,12.31562003,5.338680521,0.843114174,1.057761175,
Sungai Selangor Fasa 1,3/7/2021,32.37686913,0.048143037,11.78173605,5.358266188,0.806691879,1.050701461,
Sungai Selangor Fasa 1,4/7/2021,30.32971572,0.047631521,11.71482992,5.648680746,0.695371606,1.074822981,
Sungai Selangor Fasa 1,5/7/2021,31.275528,0.070654743,11.57421217,5.290680884,0.801477583,1.060230568,
Sungai Selangor Fasa 1,6/7/2021,30.32065547,0.05,9.576767687,4.627637108,0.837987117,1.06391506,
Sungai Selangor Fasa 1,7/7/2021,30.5594541,0.07375734,13.24734251,3.572941359,0.950531966,1.10436642,
Sungai Selangor Fasa 1,8/7/2021,28.4283608,0.049473703,16.37352924,5.218627387,0.776479943,1.079478288,
Sungai Selangor Fasa 1,9/7/2021,38.35319638,0.048165028,9.627572843,4.814700066,0.837233367,1.051094168,
Sungai Selangor Fasa 1,10/7/2021,37.10238252,0.048380567,11.48454878,4.90579844,0.843180099,0.928906885,
Sungai Selangor Fasa 1,11/7/2021,34.03753811,0.046735691,8.581414282,4.96944474,0.914916276,0.930852419,
Sungai Selangor Fasa 1,12/7/2021,30.91799904,0.046780039,9.471774809,4.899088326,0.93207539,0.917408141,
Sungai Selangor Fasa 1,13/7/2021,35.65039938,0.052235014,11.15776082,4.735529342,0.862658848,0.944208073,
Sungai Selangor Fasa 1,14/7/2021,30.09597493,0.048407631,12.88076333,4.643825837,0.830932693,0.929426511,
