,wtp,Date,Activated Carbon _avg,Aluminium Chlorohydrate _avg,Flopam AH 912 PWG _avg,Flopam FA 920 PWG _avg,Flopam FL 4520 PWG _avg,Flopam FO 4190 PWG _avg,Flopam FO 4290 PWG _avg,Hydrated Lime _avg,Hydrated Lime (Intermediate) _avg,Hydrated Lime (Post) _avg,Hydrated Lime (Powder) _avg,Hydrated Lime (Powder) (Intermediate) _avg,Hydrated Lime (Powder) (Post) _avg,Hydrated Lime (Powder) (Pre) _avg,Hydrated Lime (Pre) _avg,Kibbled Aluminium Sulphate _avg,Liquid Aluminium Sulphate _avg,Liquid Chlorine _avg,Liquid Chlorine (Intermediate) _avg,Liquid Chlorine (Post) _avg,Liquid Chlorine (Pre) _avg,Liquid Polyaluminium Chloride _avg,Microsand _avg,Modified Liquid Alum _avg,Polyelectrolyte AN 910 PWG _avg,Polymer Tianfloc C3080 _avg,Potassium Permanganate _avg,Soda Ash _avg,Soda Ash (Post) _avg,Soda Ash (Pre) _avg,Sodium Aluminosilicate _avg,Sodium Fluoride _avg,Sodium Hypochlorite _avg,Sodium Silico Fluoride _avg,Superfloc C 591 PWG _avg,Activated Carbon _max,Aluminium Chlorohydrate _max,Flopam AH 912 PWG _max,Flopam FA 920 PWG _max,Flopam FL 4520 PWG _max,Flopam FO 4190 PWG _max,Flopam FO 4290 PWG _max,Hydrated Lime _max,Hydrated Lime (Intermediate) _max,Hydrated Lime (Post) _max,Hydrated Lime (Powder) _max,Hydrated Lime (Powder) (Intermediate) _max,Hydrated Lime (Powder) (Post) _max,Hydrated Lime (Powder) (Pre) _max,Hydrated Lime (Pre) _max,Kibbled Aluminium Sulphate _max,Liquid Aluminium Sulphate _max,Liquid Chlorine _max,Liquid Chlorine (Intermediate) _max,Liquid Chlorine (Post) _max,Liquid Chlorine (Pre) _max,Liquid Polyaluminium Chloride _max,Microsand _max,Modified Liquid Alum _max,Polyelectrolyte AN 910 PWG _max,Polymer Tianfloc C3080 _max,Potassium Permanganate _max,Soda Ash _max,Soda Ash (Post) _max,Soda Ash (Pre) _max,Sodium Aluminosilicate _max,Sodium Fluoride _max,Sodium Hypochlorite _max,Sodium Silico Fluoride _max,Superfloc C 591 PWG _max,Activated Carbon _min,Aluminium Chlorohydrate _min,Flopam AH 912 PWG _min,Flopam FA 920 PWG _min,Flopam FL 4520 PWG _min,Flopam FO 4190 PWG _min,Flopam FO 4290 PWG _min,Hydrated Lime _min,Hydrated Lime (Intermediate) _min,Hydrated Lime (Post) _min,Hydrated Lime (Powder) _min,Hydrated Lime (Powder) (Intermediate) _min,Hydrated Lime (Powder) (Post) _min,Hydrated Lime (Powder) (Pre) _min,Hydrated Lime (Pre) _min,Kibbled Aluminium Sulphate _min,Liquid Aluminium Sulphate _min,Liquid Chlorine _min,Liquid Chlorine (Intermediate) _min,Liquid Chlorine (Post) _min,Liquid Chlorine (Pre) _min,Liquid Polyaluminium Chloride _min,Microsand _min,Modified Liquid Alum _min,Polyelectrolyte AN 910 PWG _min,Polymer Tianfloc C3080 _min,Potassium Permanganate _min,Soda Ash _min,Soda Ash (Post) _min,Soda Ash (Pre) _min,Sodium Aluminosilicate _min,Sodium Fluoride _min,Sodium Hypochlorite _min,Sodium Silico Fluoride _min,Superfloc C 591 PWG _min
1267,Bernam River Headworks (Old),22/2/2022,,,,0.02,,,,,,7.24,,,,,3.64,,32.19,3.72,,,,,,,,,,,,,,,,3.09,,,,,0.02,,,,,,7.24,,,,,4.08,,38.6,3.72,,,,,,,,,,,,,,,,33,,,,,0.02,,,,,,7.24,,,,,3.2,,28,3.72,,,,,,,,,,,,,,,,0.33,
1268,Bernam River Headworks (Old),22/3/2022,,,,0.01,,,,,,6.55,,,,,3.02,,24.88,3.75,,,,,,,,,,,,,,,,0.35,,,,,0.01,,,,,,6.57,,,,,3.02,,25.4,3.94,,,,,,,,,,,,,,,,0.35,,,,,0.01,,,,,,6.29,,,,,3.02,,23.3,3.71,,,,,,,,,,,,,,,,0.34,
1269,Bernam River Headworks (Old),22/4/2022,,,,0.02,,,,,,7.04,,,,,3.28,,26.9,3.73,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.05,,,,,3.37,,36,3.73,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.03,,,,,3.24,,25.6,3.73,,,,,,,,,,,,,,,,0.4,
1270,Bernam River Headworks (Old),22/5/2022,,,,0.01,,,,,,6.8,,,,,2.52,,24.03,3.63,,,,,,,,,,,,,,,,0.32,,,,,0.01,,,,,,6.82,,,,,2.53,,25.7,3.63,,,,,,,,,,,,,,,,0.32,,,,,0.01,,,,,,6.77,,,,,2.51,,23.2,3.63,,,,,,,,,,,,,,,,0.32,
1271,Bernam River Headworks (Old),22/6/2022,,,,0.02,,,,,,7.27,,,,,3.34,,28.78,3.83,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.27,,,,,3.34,,30.8,3.83,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.27,,,,,3.34,,28.1,3.83,,,,,,,,,,,,,,,,0.4,
1272,Bernam River Headworks (Old),22/7/2022,,,,0.01,,,,,,6.68,,,,,2.39,,24.06,3.9,,,,,,,,,,,,,,,,0.42,,,,,0.01,,,,,,6.68,,,,,2.39,,25.4,3.9,,,,,,,,,,,,,,,,0.42,,,,,0.01,,,,,,6.68,,,,,2.39,,23.1,3.9,,,,,,,,,,,,,,,,0.42,
1273,Bernam River Headworks (Old),22/8/2022,,,,0.02,,,,,,7.09,,,,,3.42,,32.26,3.82,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.09,,,,,3.42,,33.3,3.82,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.09,,,,,3.42,,30.8,3.82,,,,,,,,,,,,,,,,0.4,
1274,Bernam River Headworks (Old),22/9/2022,,,,0.01,,,,,,7.03,,,,,2.34,,23,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.01,,,,,,7.03,,,,,2.34,,23,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.01,,,,,,7.03,,,,,2.34,,23,3.81,,,,,,,,,,,,,,,,0.4,
1275,Bernam River Headworks (Old),23/1/2022,,,,0.01,,,,,,6.51,,,,,2.96,,23.65,3.61,,,,,,,,,,,,,,,,0.33,,,,,0.01,,,,,,6.51,,,,,2.96,,25.6,3.61,,,,,,,,,,,,,,,,0.33,,,,,0.01,,,,,,6.51,,,,,2.96,,23,3.61,,,,,,,,,,,,,,,,0.33,
1276,Bernam River Headworks (Old),23/10/2022,,,,0.02,,,,,,7.18,,,,,2.62,,25.83,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.2,,,,,2.62,,25.9,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.17,,,,,2.61,,25.7,3.81,,,,,,,,,,,,,,,,0.4,
1277,Bernam River Headworks (Old),23/11/2022,,,,0.01,,,,,,7.68,,,,,2.96,,27.1,4.11,,,,,,,,,,,,,,,,0.46,,,,,0.01,,,,,,7.83,,,,,3.09,,28.22,4.16,,,,,,,,,,,,,,,,0.49,,,,,0.01,,,,,,7.47,,,,,2.82,,26,4.05,,,,,,,,,,,,,,,,0.43,
1278,Bernam River Headworks (Old),23/12/2022,,,,0.02,,,,,,7.11,,,,,3.59,,29.13,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.11,,,,,3.66,,30.9,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.11,,,,,3.52,,25.7,3.81,,,,,,,,,,,,,,,,0.4,
1279,Bernam River Headworks (Old),23/2/2022,,,,0.02,,,,,,7.23,,,,,3.2,,27.23,3.72,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.24,,,,,3.21,,30.8,3.72,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.21,,,,,3.17,,25.4,3.72,,,,,,,,,,,,,,,,0.4,
1280,Bernam River Headworks (Old),23/3/2022,,,,0.01,,,,,,6.19,,,,,3.04,,25.3,3.79,,,,,,,,,,,,,,,,0.35,,,,,0.01,,,,,,6.46,,,,,3.04,,25.3,3.94,,,,,,,,,,,,,,,,0.35,,,,,0.01,,,,,,6.06,,,,,3.04,,25.3,3.71,,,,,,,,,,,,,,,,0.32,
1281,Bernam River Headworks (Old),23/4/2022,,,,0.02,,,,,,7.04,,,,,3.73,,36.29,3.73,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.05,,,,,4.04,,43.5,3.73,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.03,,,,,3.24,,30.8,3.73,,,,,,,,,,,,,,,,0.4,
1282,Bernam River Headworks (Old),23/5/2022,,,,0.01,,,,,,6.8,,,,,2.52,,23.2,3.63,,,,,,,,,,,,,,,,0.32,,,,,0.01,,,,,,6.82,,,,,2.53,,23.2,3.63,,,,,,,,,,,,,,,,0.32,,,,,0.01,,,,,,6.77,,,,,2.51,,23.2,3.63,,,,,,,,,,,,,,,,0.32,
1283,Bernam River Headworks (Old),23/6/2022,,,,0.02,,,,,,7.23,,,,,3.32,,26.25,3.83,,,,,,,,,,,,,,,,3.7,,,,,0.02,,,,,,7.23,,,,,3.32,,28,3.83,,,,,,,,,,,,,,,,40,,,,,0.02,,,,,,7.23,,,,,3.32,,25.6,3.83,,,,,,,,,,,,,,,,0.4,
1284,Bernam River Headworks (Old),23/7/2022,,,,0.02,,,,,,6.63,,,,,3.14,,34.77,3.86,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,6.63,,,,,3.14,,40.5,3.86,,,,,,,,,,,,,,,,0.42,,,,,0.01,,,,,,6.63,,,,,3.14,,31.5,3.86,,,,,,,,,,,,,,,,0.38,
1285,Bernam River Headworks (Old),23/8/2022,,,,0.03,,,,,,7.09,,,,,4.04,,43.8,3.76,,,,,,,,,,,,,,,,0.4,,,,,0.03,,,,,,7.09,,,,,4.38,,56.1,3.76,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.09,,,,,3.36,,36.1,3.76,,,,,,,,,,,,,,,,0.4,
1286,Bernam River Headworks (Old),23/9/2022,,,,0.01,,,,,,7.03,,,,,2.34,,23.22,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.01,,,,,,7.03,,,,,2.34,,25.6,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.01,,,,,,7.03,,,,,2.34,,23,3.81,,,,,,,,,,,,,,,,0.4,
1287,Bernam River Headworks (Old),24/1/2022,,,,0.02,,,,,,6.31,,,,,3.6,,33.72,3.47,,,,,,,,,,,,,,,,0.33,,,,,0.03,,,,,,6.62,,,,,4.58,,46.4,3.72,,,,,,,,,,,,,,,,0.33,,,,,0.01,,,,,,6.15,,,,,2.97,,30.7,3.39,,,,,,,,,,,,,,,,0.33,
1288,Bernam River Headworks (Old),24/10/2022,,,,0.02,,,,,,7.21,,,,,2.69,,26.33,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.23,,,,,3.61,,28.2,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.2,,,,,2.61,,25.7,3.81,,,,,,,,,,,,,,,,0.4,
1289,Bernam River Headworks (Old),24/11/2022,,,,0.01,,,,,,7.47,,,,,2.75,,25.43,3.99,,,,,,,,,,,,,,,,0.42,,,,,0.01,,,,,,7.47,,,,,2.82,,26,4.05,,,,,,,,,,,,,,,,0.43,,,,,0.01,,,,,,7.47,,,,,2.41,,23.8,3.93,,,,,,,,,,,,,,,,0.37,
1290,Bernam River Headworks (Old),24/12/2022,,,,0.02,,,,,,7.12,,,,,3.66,,28.27,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.13,,,,,3.66,,28.3,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.11,,,,,3.66,,28.2,3.81,,,,,,,,,,,,,,,,0.4,
1291,Bernam River Headworks (Old),24/2/2022,,,,0.02,,,,,,7.22,,,,,3.29,,34.53,3.72,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.24,,,,,3.46,,38.5,3.72,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.21,,,,,3.21,,30.8,3.72,,,,,,,,,,,,,,,,0.4,
1292,Bernam River Headworks (Old),24/3/2022,,,,0.01,,,,,,6.67,,,,,2.97,,25,3.72,,,,,,,,,,,,,,,,0.33,,,,,0.01,,,,,,6.67,,,,,2.97,,25.4,3.72,,,,,,,,,,,,,,,,0.34,,,,,0.01,,,,,,6.67,,,,,2.97,,23,3.72,,,,,,,,,,,,,,,,0.33,
1293,Bernam River Headworks (Old),24/4/2022,,,,0.02,,,,,,7.04,,,,,3.33,,27.72,3.73,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.05,,,,,3.37,,30.8,3.73,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.03,,,,,3.25,,25.7,3.73,,,,,,,,,,,,,,,,0.4,
1294,Bernam River Headworks (Old),24/5/2022,,,,0.01,,,,,,6.8,,,,,2.52,,23.25,3.63,,,,,,,,,,,,,,,,0.33,,,,,0.01,,,,,,6.82,,,,,2.53,,23.3,3.63,,,,,,,,,,,,,,,,0.34,,,,,0.01,,,,,,6.77,,,,,2.51,,23.2,3.63,,,,,,,,,,,,,,,,0.32,
1295,Bernam River Headworks (Old),24/6/2022,,,,0.02,,,,,,7.24,,,,,3.33,,27.67,3.83,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.24,,,,,3.33,,33.3,3.83,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.24,,,,,3.33,,25.5,3.83,,,,,,,,,,,,,,,,0.4,
1296,Bernam River Headworks (Old),24/7/2022,,,,0.01,,,,,,6.63,,,,,3.12,,32.73,3.86,,,,,,,,,,,,,,,,0.41,,,,,0.01,,,,,,6.63,,,,,3.17,,36,3.86,,,,,,,,,,,,,,,,0.42,,,,,0.01,,,,,,6.63,,,,,2.77,,31.5,3.86,,,,,,,,,,,,,,,,0.39,
1297,Bernam River Headworks (Old),24/8/2022,,,,0.02,,,,,,7.29,,,,,3.15,,36.44,3.91,,,,,,,,,,,,,,,,0.4,,,,,0.03,,,,,,7.34,,,,,3.7,,43.4,3.92,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.04,,,,,3.04,,30.9,3.83,,,,,,,,,,,,,,,,0.4,
1298,Bernam River Headworks (Old),24/9/2022,,,,0.01,,,,,,7.1,,,,,2.74,,25.48,3.85,,,,,,,,,,,,,,,,0.41,,,,,0.01,,,,,,7.23,,,,,2.81,,30.8,3.92,,,,,,,,,,,,,,,,0.42,,,,,0.01,,,,,,7.03,,,,,2.71,,23,3.81,,,,,,,,,,,,,,,,0.4,
1299,Bernam River Headworks (Old),25/1/2022,,,,0.02,,,,,,5.82,,,,,3.86,,36.44,3.61,,,,,,,,,,,,,,,,0.32,,,,,0.03,,,,,,6.35,,,,,4.58,,44,3.72,,,,,,,,,,,,,,,,0.33,,,,,0.01,,,,,,5.77,,,,,2.97,,30.7,3.28,,,,,,,,,,,,,,,,0.31,
1300,Bernam River Headworks (Old),25/10/2022,,,,0.02,,,,,,7.2,,,,,3.2,,31.76,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.2,,,,,3.4,,36.2,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.2,,,,,2.61,,28.4,3.81,,,,,,,,,,,,,,,,0.4,
1301,Bernam River Headworks (Old),25/11/2022,,,,0.01,,,,,,7.7,,,,,2.95,,28.1,3.93,,,,,,,,,,,,,,,,0.37,,,,,0.02,,,,,,7.71,,,,,3.6,,36.9,3.93,,,,,,,,,,,,,,,,0.39,,,,,0.01,,,,,,7.67,,,,,2.14,,22.9,3.93,,,,,,,,,,,,,,,,0.36,
1302,Bernam River Headworks (Old),25/12/2022,,,,0.02,,,,,,7.13,,,,,3.66,,27.25,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.13,,,,,3.66,,28.3,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.13,,,,,3.66,,25.7,3.81,,,,,,,,,,,,,,,,0.4,
1303,Bernam River Headworks (Old),25/2/2022,,,,0.02,,,,,,7.23,,,,,3.37,,30.62,3.72,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.24,,,,,3.46,,35.7,3.72,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.21,,,,,3.2,,28,3.72,,,,,,,,,,,,,,,,0.4,
1304,Bernam River Headworks (Old),25/3/2022,,,,0.01,,,,,,6.51,,,,,3.21,,28.68,3.75,,,,,,,,,,,,,,,,0.33,,,,,0.01,,,,,,6.51,,,,,3.33,,30.8,3.83,,,,,,,,,,,,,,,,0.34,,,,,0.01,,,,,,6.51,,,,,2.97,,25.2,3.72,,,,,,,,,,,,,,,,0.33,
1305,Bernam River Headworks (Old),25/4/2022,,,,0.02,,,,,,7.05,,,,,3.25,,26.48,3.73,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.05,,,,,3.25,,30.8,3.73,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.05,,,,,3.25,,25.6,3.73,,,,,,,,,,,,,,,,0.4,
1306,Bernam River Headworks (Old),25/5/2022,,,,0.02,,,,,,6.62,,,,,3.36,,40.83,3.82,,,,,,,,,,,,,,,,0.32,,,,,0.03,,,,,,7.18,,,,,3.92,,50.9,4.05,,,,,,,,,,,,,,,,0.33,,,,,0.01,,,,,,6.35,,,,,3.17,,35.8,3.64,,,,,,,,,,,,,,,,0.31,
1307,Bernam River Headworks (Old),25/6/2022,,,,0.02,,,,,,7.21,,,,,3.23,,29.78,3.83,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.21,,,,,3.23,,33.2,3.83,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.21,,,,,3.23,,25.5,3.83,,,,,,,,,,,,,,,,0.4,
1308,Bernam River Headworks (Old),25/7/2022,,,,0.01,,,,,,7.08,,,,,3.17,,32.45,3.86,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.13,,,,,3.56,,41.1,3.86,,,,,,,,,,,,,,,,0.41,,,,,0.01,,,,,,7.06,,,,,2.77,,28.6,3.86,,,,,,,,,,,,,,,,0.38,
1309,Bernam River Headworks (Old),25/8/2022,,,,0.02,,,,,,7.31,,,,,3.47,,34.03,3.93,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.56,,,,,3.51,,36,3.93,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.29,,,,,3.04,,30.8,3.92,,,,,,,,,,,,,,,,0.4,
1310,Bernam River Headworks (Old),25/9/2022,,,,0.01,,,,,,7.23,,,,,2.57,,23.84,3.92,,,,,,,,,,,,,,,,0.42,,,,,0.01,,,,,,7.23,,,,,2.81,,25.9,3.92,,,,,,,,,,,,,,,,0.42,,,,,0.01,,,,,,7.23,,,,,2.41,,22.8,3.92,,,,,,,,,,,,,,,,0.42,
1311,Bernam River Headworks (Old),26/1/2022,,,,0.01,,,,,,6.41,,,,,3.45,,30.11,3.97,,,,,,,,,,,,,,,,0.34,,,,,0.01,,,,,,6.41,,,,,4.08,,35.9,4.05,,,,,,,,,,,,,,,,0.35,,,,,0.01,,,,,,6.41,,,,,3.33,,28,3.72,,,,,,,,,,,,,,,,0.33,
1312,Bernam River Headworks (Old),26/10/2022,,,,0.02,,,,,,7.32,,,,,3.47,,33.03,3.9,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.34,,,,,3.51,,41.1,3.92,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.2,,,,,3.46,,28.1,3.81,,,,,,,,,,,,,,,,0.4,
1313,Bernam River Headworks (Old),26/11/2022,,,,0.01,,,,,,7.91,,,,,3.4,,29.1,4.05,,,,,,,,,,,,,,,,0.41,,,,,0.01,,,,,,7.91,,,,,3.6,,30.9,4.05,,,,,,,,,,,,,,,,0.41,,,,,0.01,,,,,,7.91,,,,,2.81,,28.2,4.05,,,,,,,,,,,,,,,,0.41,
1314,Bernam River Headworks (Old),26/12/2022,,,,0.02,,,,,,7.13,,,,,3.66,,25.83,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.13,,,,,3.66,,25.9,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.12,,,,,3.64,,25.7,3.81,,,,,,,,,,,,,,,,0.4,
1315,Bernam River Headworks (Old),26/2/2022,,,,0.02,,,,,,7.22,,,,,3.29,,28.74,3.72,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.24,,,,,3.46,,35.7,3.72,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.21,,,,,3.2,,25.6,3.72,,,,,,,,,,,,,,,,0.4,
1316,Bernam River Headworks (Old),26/3/2022,,,,0.02,,,,,,6.62,,,,,3.77,,34.93,3.98,,,,,,,,,,,,,,,,0.37,,,,,0.02,,,,,,6.62,,,,,4.08,,41.4,4.05,,,,,,,,,,,,,,,,0.37,,,,,0.01,,,,,,6.62,,,,,2.97,,27.9,3.72,,,,,,,,,,,,,,,,0.37,
1317,Bernam River Headworks (Old),26/4/2022,,,,0.02,,,,,,7.05,,,,,3.25,,26.09,3.73,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.05,,,,,3.25,,28.1,3.73,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.05,,,,,3.25,,25.6,3.73,,,,,,,,,,,,,,,,0.4,
1318,Bernam River Headworks (Old),26/5/2022,,,,0.03,,,,,,7.13,,,,,4.25,,41.34,3.92,,,,,,,,,,,,,,,,0.33,,,,,0.03,,,,,,7.26,,,,,4.8,,48.7,4.05,,,,,,,,,,,,,,,,0.34,,,,,0.03,,,,,,6.12,,,,,3.92,,36.3,3.63,,,,,,,,,,,,,,,,0.31,
1319,Bernam River Headworks (Old),26/6/2022,,,,0.02,,,,,,7.21,,,,,3.08,,25.18,3.83,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.21,,,,,3.08,,25.6,3.83,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.21,,,,,3.08,,23.1,3.83,,,,,,,,,,,,,,,,0.4,
1320,Bernam River Headworks (Old),26/7/2022,,,,0.01,,,,,,7.09,,,,,3.06,,32.52,3.86,,,,,,,,,,,,,,,,0.4,,,,,0.01,,,,,,7.13,,,,,3.56,,38.4,3.86,,,,,,,,,,,,,,,,0.41,,,,,0.01,,,,,,6.62,,,,,2.77,,28.5,3.86,,,,,,,,,,,,,,,,0.39,
1321,Bernam River Headworks (Old),26/8/2022,,,,0.02,,,,,,7.23,,,,,3.67,,32.73,3.93,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.23,,,,,3.67,,35.9,3.93,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.23,,,,,3.67,,30.8,3.93,,,,,,,,,,,,,,,,0.4,
1322,Bernam River Headworks (Old),26/9/2022,,,,0.01,,,,,,7.01,,,,,2.72,,23,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.01,,,,,,7.01,,,,,2.72,,23,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.01,,,,,,7.01,,,,,2.72,,23,3.81,,,,,,,,,,,,,,,,0.4,
1323,Bernam River Headworks (Old),27/1/2022,,,,0.01,,,,,,6.67,,,,,2.96,,25.4,3.83,,,,,,,,,,,,,,,,0.34,,,,,0.01,,,,,,6.67,,,,,2.96,,25.4,3.83,,,,,,,,,,,,,,,,0.36,,,,,0.01,,,,,,6.67,,,,,2.96,,25.4,3.83,,,,,,,,,,,,,,,,0.33,
1324,Bernam River Headworks (Old),27/10/2022,,,,0.02,,,,,,7.34,,,,,3.46,,30.13,3.92,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.34,,,,,3.46,,33.1,3.92,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.34,,,,,3.46,,28.1,3.92,,,,,,,,,,,,,,,,0.4,
1325,Bernam River Headworks (Old),27/11/2022,,,,0.01,,,,,,7.83,,,,,2.81,,27.37,4.05,,,,,,,,,,,,,,,,0.45,,,,,0.01,,,,,,7.83,,,,,2.81,,28.2,4.05,,,,,,,,,,,,,,,,0.49,,,,,0.01,,,,,,7.83,,,,,2.81,,25.7,4.05,,,,,,,,,,,,,,,,0.38,
1326,Bernam River Headworks (Old),27/12/2022,,,,0.02,,,,,,7.12,,,,,3.63,,25.82,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.13,,,,,3.66,,25.9,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.11,,,,,3.58,,25.7,3.81,,,,,,,,,,,,,,,,0.4,
1327,Bernam River Headworks (Old),27/2/2022,,,,0.02,,,,,,7.24,,,,,3.29,,28.3,3.72,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.24,,,,,3.46,,33.2,3.72,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.24,,,,,3.2,,25.6,3.72,,,,,,,,,,,,,,,,0.4,
1328,Bernam River Headworks (Old),27/3/2022,,,,0.02,,,,,,6.36,,,,,3.7,,33.51,3.76,,,,,,,,,,,,,,,,0.33,,,,,0.02,,,,,,6.4,,,,,4.08,,43.6,4.05,,,,,,,,,,,,,,,,0.35,,,,,0.01,,,,,,5.9,,,,,2.97,,27.9,3.5,,,,,,,,,,,,,,,,0.32,
1329,Bernam River Headworks (Old),27/4/2022,,,,0.02,,,,,,7.04,,,,,3.84,,36.73,3.73,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.05,,,,,4.06,,48.7,3.73,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.03,,,,,3.25,,25.7,3.73,,,,,,,,,,,,,,,,0.4,
1330,Bernam River Headworks (Old),27/5/2022,,,,0.03,,,,,,7.15,,,,,4.14,,33.64,14.59,,,,,,,,,,,,,,,,0.34,,,,,0.03,,,,,,7.26,,,,,4.46,,36.3,36.3,,,,,,,,,,,,,,,,0.35,,,,,0.02,,,,,,7,,,,,3.61,,31.1,3.72,,,,,,,,,,,,,,,,0.33,
1331,Bernam River Headworks (Old),27/6/2022,,,,0.02,,,,,,7.21,,,,,3.08,,24.7,3.83,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.21,,,,,3.08,,25.5,3.83,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.21,,,,,3.08,,23.1,3.83,,,,,,,,,,,,,,,,0.4,
1332,Bernam River Headworks (Old),27/7/2022,,,,0.01,,,,,,7.12,,,,,2.77,,26.7,3.88,,,,,,,,,,,,,,,,0.39,,,,,0.01,,,,,,7.13,,,,,2.77,,28.5,4.09,,,,,,,,,,,,,,,,0.39,,,,,0.01,,,,,,7.05,,,,,2.74,,25.6,3.81,,,,,,,,,,,,,,,,0.39,
1333,Bernam River Headworks (Old),27/8/2022,,,,0.02,,,,,,7.27,,,,,3.66,,28.72,3.93,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.27,,,,,3.66,,30.8,3.93,,,,,,,,,,,,,,,,0.4,,,,,0.02,,,,,,7.27,,,,,3.66,,28.3,3.93,,,,,,,,,,,,,,,,0.4,
1334,Bernam River Headworks (Old),27/9/2022,,,,0.01,,,,,,7.01,,,,,2.54,,23,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.01,,,,,,7.01,,,,,2.72,,23,3.81,,,,,,,,,,,,,,,,0.4,,,,,0.01,,,,,,7.01,,,,,2.35,,23,3.81,,,,,,,,,,,,,,,,0.4,
