,wtp,Date,Activated Carbon _avg,Aluminium Chlorohydrate _avg,Flopam AH 912 PWG _avg,Flopam FA 920 PWG _avg,Flopam FL 4520 PWG _avg,Flopam FO 4190 PWG _avg,Flopam FO 4290 PWG _avg,Hydrated Lime _avg,Hydrated Lime (Intermediate) _avg,Hydrated Lime (Post) _avg,Hydrated Lime (Powder) _avg,Hydrated Lime (Powder) (Intermediate) _avg,Hydrated Lime (Powder) (Post) _avg,Hydrated Lime (Powder) (Pre) _avg,Hydrated Lime (Pre) _avg,Kibbled Aluminium Sulphate _avg,Liquid Aluminium Sulphate _avg,Liquid Chlorine _avg,Liquid Chlorine (Intermediate) _avg,Liquid Chlorine (Post) _avg,Liquid Chlorine (Pre) _avg,Liquid Polyaluminium Chloride _avg,Microsand _avg,Modified Liquid Alum _avg,Polymer Tianfloc C3080 _avg,Potassium Permanganate _avg,Soda Ash _avg,Soda Ash (Post) _avg,Soda Ash (Pre) _avg,Sodium Aluminosilicate _avg,Sodium Fluoride _avg,Sodium Hypochlorite _avg,Sodium Silico Fluoride _avg,Superfloc C 591 PWG _avg,Activated Carbon _max,Aluminium Chlorohydrate _max,Flopam AH 912 PWG _max,Flopam FA 920 PWG _max,Flopam FL 4520 PWG _max,Flopam FO 4190 PWG _max,Flopam FO 4290 PWG _max,Hydrated Lime _max,Hydrated Lime (Intermediate) _max,Hydrated Lime (Post) _max,Hydrated Lime (Powder) _max,Hydrated Lime (Powder) (Intermediate) _max,Hydrated Lime (Powder) (Post) _max,Hydrated Lime (Powder) (Pre) _max,Hydrated Lime (Pre) _max,Kibbled Aluminium Sulphate _max,Liquid Aluminium Sulphate _max,Liquid Chlorine _max,Liquid Chlorine (Intermediate) _max,Liquid Chlorine (Post) _max,Liquid Chlorine (Pre) _max,Liquid Polyaluminium Chloride _max,Microsand _max,Modified Liquid Alum _max,Polymer Tianfloc C3080 _max,Potassium Permanganate _max,Soda Ash _max,Soda Ash (Post) _max,Soda Ash (Pre) _max,Sodium Aluminosilicate _max,Sodium Fluoride _max,Sodium Hypochlorite _max,Sodium Silico Fluoride _max,Superfloc C 591 PWG _max,Activated Carbon _min,Aluminium Chlorohydrate _min,Flopam AH 912 PWG _min,Flopam FA 920 PWG _min,Flopam FL 4520 PWG _min,Flopam FO 4190 PWG _min,Flopam FO 4290 PWG _min,Hydrated Lime _min,Hydrated Lime (Intermediate) _min,Hydrated Lime (Post) _min,Hydrated Lime (Powder) _min,Hydrated Lime (Powder) (Intermediate) _min,Hydrated Lime (Powder) (Post) _min,Hydrated Lime (Powder) (Pre) _min,Hydrated Lime (Pre) _min,Kibbled Aluminium Sulphate _min,Liquid Aluminium Sulphate _min,Liquid Chlorine _min,Liquid Chlorine (Intermediate) _min,Liquid Chlorine (Post) _min,Liquid Chlorine (Pre) _min,Liquid Polyaluminium Chloride _min,Microsand _min,Modified Liquid Alum _min,Polymer Tianfloc C3080 _min,Potassium Permanganate _min,Soda Ash _min,Soda Ash (Post) _min,Soda Ash (Pre) _min,Sodium Aluminosilicate _min,Sodium Fluoride _min,Sodium Hypochlorite _min,Sodium Silico Fluoride _min,Superfloc C 591 PWG _min
3402,Kuala Kubu Bharu,19/1/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3403,Kuala Kubu Bharu,19/10/2021,,,,,,,,0.0,,,,,,,,12.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,12.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,12.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3404,Kuala Kubu Bharu,19/11/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3405,Kuala Kubu Bharu,19/12/2021,,,,,,,,0.0,,,,,,,,7.67,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,8.0,,2.52,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,6.0,,2.5,,,,,,,,,2.0,,,,,,0.5,
3406,Kuala Kubu Bharu,19/2/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3407,Kuala Kubu Bharu,19/3/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3408,Kuala Kubu Bharu,19/4/2021,,,,,,,,0.0,,,,,,,,14.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,16.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,12.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3409,Kuala Kubu Bharu,19/5/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3410,Kuala Kubu Bharu,19/6/2021,,,,,,,,0.0,,,,,,,,0.0,,2.51,,,,,,,,,2.0,,,,,,0.5,,,,,,,,,0.0,,,,,,,,0.0,,2.54,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.48,
3411,Kuala Kubu Bharu,19/7/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3412,Kuala Kubu Bharu,19/8/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3413,Kuala Kubu Bharu,19/9/2021,,,,,,,,0.0,,,,,,,,12.67,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,18.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,10.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3414,Kuala Kubu Bharu,2/1/2021,,,,,,,,0.0,,,,,,,,14.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,14.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,14.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3415,Kuala Kubu Bharu,2/10/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3416,Kuala Kubu Bharu,2/11/2021,,,,,,,,0.0,,,,,,,,10.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,10.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,10.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3417,Kuala Kubu Bharu,2/12/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3418,Kuala Kubu Bharu,2/2/2021,,,,,,,,0.0,,,,,,,,0.0,,2.51,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.52,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.5,
3419,Kuala Kubu Bharu,2/3/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3420,Kuala Kubu Bharu,2/4/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3421,Kuala Kubu Bharu,2/5/2021,,,,,,,,0.0,,,,,,,,10.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,10.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,10.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3422,Kuala Kubu Bharu,2/6/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3423,Kuala Kubu Bharu,2/7/2021,,,,,,,,0.0,,,,,,,,10.0,,2.55,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,10.0,,2.6,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,10.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3424,Kuala Kubu Bharu,2/8/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3425,Kuala Kubu Bharu,2/9/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3426,Kuala Kubu Bharu,20/1/2021,,,,,,,,0.0,,,,,,,,16.67,,2.55,,,,,,,,,2.05,,,,,,0.51,,,,,,,,,0.0,,,,,,,,18.0,,2.65,,,,,,,,,2.65,,,,,,0.51,,,,,,,,,0.0,,,,,,,,16.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3427,Kuala Kubu Bharu,20/10/2021,,,,,,,,0.0,,,,,,,,14.86,,2.51,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,20.0,,2.56,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,10.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3428,Kuala Kubu Bharu,20/11/2021,,,,,,,,0.0,,,,,,,,12.67,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,14.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,12.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3429,Kuala Kubu Bharu,20/12/2021,,,,,,,,0.0,,,,,,,,8.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,8.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,8.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3430,Kuala Kubu Bharu,20/2/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3431,Kuala Kubu Bharu,20/3/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3432,Kuala Kubu Bharu,20/4/2021,,,,,,,,0.0,,,,,,,,0.0,,2.56,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.67,,,,,,,,,2.0,,,,,,0.52,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3433,Kuala Kubu Bharu,20/5/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3434,Kuala Kubu Bharu,20/6/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3435,Kuala Kubu Bharu,20/7/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3436,Kuala Kubu Bharu,20/8/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3437,Kuala Kubu Bharu,20/9/2021,,,,,,,,0.0,,,,,,,,10.57,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,12.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,10.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3438,Kuala Kubu Bharu,21/1/2021,,,,,,,,0.0,,,,,,,,19.11,,2.53,,,,,,,,,2.0,,,,,,0.52,,,,,,,,,0.0,,,,,,,,50.0,,2.6,,,,,,,,,2.0,,,,,,0.54,,,,,,,,,0.0,,,,,,,,10.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3439,Kuala Kubu Bharu,21/10/2021,,,,,,,,0.0,,,,,,,,13.17,,2.44,,,,,,,,,2.0,,,,,,0.53,,,,,,,,,0.0,,,,,,,,14.0,,2.5,,,,,,,,,2.0,,,,,,0.54,,,,,,,,,0.0,,,,,,,,12.0,,2.4,,,,,,,,,2.0,,,,,,0.51,
3440,Kuala Kubu Bharu,21/11/2021,,,,,,,,0.0,,,,,,,,13.8,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,18.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,10.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3441,Kuala Kubu Bharu,21/12/2021,,,,,,,,0.0,,,,,,,,8.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,8.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,8.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3442,Kuala Kubu Bharu,21/2/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3443,Kuala Kubu Bharu,21/3/2021,,,,,,,,0.0,,,,,,,,0.0,,2.51,,,,,,,,,2.0,,,,,,0.5,,,,,,,,,0.0,,,,,,,,0.0,,2.52,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.5,
3444,Kuala Kubu Bharu,21/4/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3445,Kuala Kubu Bharu,21/5/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3446,Kuala Kubu Bharu,21/6/2021,,,,,,,,0.0,,,,,,,,0.0,,2.52,,,,,,,,,2.0,,,,,,0.5,,,,,,,,,0.0,,,,,,,,0.0,,2.56,,,,,,,,,2.0,,,,,,0.52,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.49,
3447,Kuala Kubu Bharu,21/7/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3448,Kuala Kubu Bharu,21/8/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3449,Kuala Kubu Bharu,21/9/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3450,Kuala Kubu Bharu,22/1/2021,,,,,,,,0.0,,,,,,,,11.5,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,14.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,8.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3451,Kuala Kubu Bharu,22/10/2021,,,,,,,,0.0,,,,,,,,11.5,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,12.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,10.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3452,Kuala Kubu Bharu,22/11/2021,,,,,,,,0.0,,,,,,,,15.67,,2.54,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,30.0,,2.63,,,,,,,,,2.0,,,,,,0.52,,,,,,,,,0.0,,,,,,,,12.0,,2.47,,,,,,,,,2.0,,,,,,0.48,
3453,Kuala Kubu Bharu,22/12/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3454,Kuala Kubu Bharu,22/2/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3455,Kuala Kubu Bharu,22/3/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3456,Kuala Kubu Bharu,22/4/2021,,,,,,,,0.0,,,,,,,,13.5,,2.44,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,16.0,,2.6,,,,,,,,,2.0,,,,,,0.54,,,,,,,,,0.0,,,,,,,,12.0,,2.27,,,,,,,,,2.0,,,,,,0.48,
3457,Kuala Kubu Bharu,22/5/2021,,,,,,,,0.0,,,,,,,,0.0,,2.49,,,,,,,,,2.0,,,,,,0.5,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.47,,,,,,,,,2.0,,,,,,0.48,
3458,Kuala Kubu Bharu,22/6/2021,,,,,,,,0.0,,,,,,,,0.0,,2.51,,,,,,,,,2.0,,,,,,0.5,,,,,,,,,0.0,,,,,,,,0.0,,2.52,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.49,
3459,Kuala Kubu Bharu,22/7/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3460,Kuala Kubu Bharu,22/8/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3461,Kuala Kubu Bharu,22/9/2021,,,,,,,,0.0,,,,,,,,12.0,,2.5,,,,,,,,,2.13,,,,,,0.51,,,,,,,,,0.0,,,,,,,,14.0,,2.5,,,,,,,,,2.4,,,,,,0.51,,,,,,,,,0.0,,,,,,,,10.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3462,Kuala Kubu Bharu,23/1/2021,,,,,,,,0.0,,,,,,,,10.33,,2.48,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,12.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,10.0,,2.45,,,,,,,,,2.0,,,,,,0.5,
3463,Kuala Kubu Bharu,23/10/2021,,,,,,,,0.0,,,,,,,,11.17,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,12.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,10.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3464,Kuala Kubu Bharu,23/11/2021,,,,,,,,0.0,,,,,,,,12.33,,1.85,,,,,,,,,2.0,,,,,,1.21,,,,,,,,,0.0,,,,,,,,14.0,,2.52,,,,,,,,,2.0,,,,,,2.63,,,,,,,,,0.0,,,,,,,,10.0,,0.51,,,,,,,,,2.0,,,,,,0.51,
3465,Kuala Kubu Bharu,23/12/2021,,,,,,,,0.0,,,,,,,,10.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,10.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,10.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3466,Kuala Kubu Bharu,23/2/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3467,Kuala Kubu Bharu,23/3/2021,,,,,,,,0.0,,,,,,,,0.0,,2.51,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.57,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.5,
3468,Kuala Kubu Bharu,23/4/2021,,,,,,,,0.0,,,,,,,,10.0,,2.56,,,,,,,,,2.0,,,,,,0.53,,,,,,,,,0.0,,,,,,,,10.0,,2.61,,,,,,,,,2.0,,,,,,0.54,,,,,,,,,0.0,,,,,,,,10.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3469,Kuala Kubu Bharu,23/5/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3470,Kuala Kubu Bharu,23/6/2021,,,,,,,,0.0,,,,,,,,0.0,,2.51,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.52,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.49,
3471,Kuala Kubu Bharu,23/7/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3472,Kuala Kubu Bharu,23/8/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
3473,Kuala Kubu Bharu,23/9/2021,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,,,,,,,,,0.0,,,,,,,,0.0,,2.5,,,,,,,,,2.0,,,,,,0.51,
