,pH_avg_chpctm,Turbidity_avg_chpctm,Color_avg_chpctm,Iron_avg_chpctm,Ammonia_avg_chpctm,Manganese_avg_chpctm,Coagulant_chpctm,pH Adjuster_chpctm,Disinfectant_chpctm,Flouridation_chpctm,Date,wtp,pH_avg,Turbidity_avg,Color_avg,Iron_avg,Ammonia_avg,Manganese_avg,Disinfectant,Coagulant,Flouridation,pH Adjuster
89,-4.203152364273208,256.9421757595557,-85.94282414091828,33.33333333333333,64.70588235294117,60.0,33.92484342379959,-3.520945772295034,-4.804804804804809,-1.9230769230769247,2021-01-01,Sungai Tengi,5.47,54.63,12.17,1.16,0.28,0.08,3.17,12.83,0.51,18.77
90,-1.7513134851138292,64.32538386148316,-91.42939647704303,10.344827586206893,-5.8823529411764754,-20.000000000000004,-19.937369519832988,-18.11873554356206,-4.204204204204208,-1.9230769230769247,2021-01-02,Sungai Tengi,5.61,25.15,7.42,0.96,0.16,0.04,3.19,7.67,0.51,15.93
91,-5.604203152364278,666.0241751061744,-89.11926075656945,10.344827586206893,370.5882352941176,300.00000000000006,110.54279749478081,22.33359033667439,-3.3033033033032995,0.0,2021-01-03,Sungai Tengi,5.39,117.24,9.42,0.96,0.8,0.2,3.22,20.17,0.52,23.8
92,-10.507880910683006,81.50931068278342,-83.736644527866,-13.793103448275861,123.52941176470587,79.99999999999999,46.13778705636743,23.51580570547419,-2.702702702702698,0.0,2021-01-04,Sungai Tengi,5.11,27.78,14.08,0.75,0.38,0.09,3.24,14.0,0.52,24.03
93,-10.332749562171626,48.44821953609931,-91.71816344210222,-8.045977011494248,5.8823529411764595,160.0,14.822546972860124,25.21202775636084,-2.702702702702698,0.0,2021-01-05,Sungai Tengi,5.12,22.72,7.17,0.8,0.18,0.13,3.24,11.0,0.52,24.36
94,-7.880910683012263,34.40052270499837,-88.96910193473867,-19.540229885057474,17.64705882352941,60.0,-2.296450939457209,1.9789257260344466,-2.702702702702698,0.0,2021-01-06,Sungai Tengi,5.26,20.57,9.55,0.7,0.2,0.08,3.24,9.36,0.52,19.84
95,-6.129597197898418,320.9735380594577,-87.20184810857637,63.21839080459769,-29.41176470588236,260.0,30.48016701461378,-0.3855050115651467,-1.8018018018018036,-1.9230769230769247,2021-01-07,Sungai Tengi,5.36,64.43,11.08,1.42,0.12,0.18,3.27,12.5,0.51,19.38
96,-5.604203152364278,300.78405749754984,-89.98556165174703,27.586206896551737,258.8235294117647,180.0,72.23382045929019,20.431765612952976,-15.615615615615615,-7.692307692307699,2021-01-08,Sungai Tengi,5.39,61.34,8.67,1.11,0.61,0.14,2.81,16.5,0.48,23.43
97,-6.129597197898418,12.381574648807577,-95.95726248917124,-32.18390804597702,-5.8823529411764754,0.0,-2.6096033402922756,0.2827036751477755,-7.207207207207214,-5.7692307692307745,2021-01-09,Sungai Tengi,5.36,17.2,3.5,0.59,0.16,0.05,3.09,9.33,0.49,19.509999999999998
98,-5.078809106830123,-8.39594903626266,-95.2873231302339,-28.735632183908045,-41.1764705882353,-20.000000000000004,-11.273486430062631,1.2079157029041532,-1.2012012012012023,-3.8461538461538494,2021-01-10,Sungai Tengi,5.42,14.02,4.08,0.62,0.1,0.04,3.29,8.5,0.5,19.69
99,-4.903677758318743,-15.51780463900686,-96.82356338434883,-20.689655172413797,-35.294117647058826,-40.00000000000001,-0.835073068893529,-0.2827036751477755,-0.6006006006006012,-5.7692307692307745,2021-01-11,Sungai Tengi,5.43,12.93,2.75,0.69,0.11,0.03,3.31,9.5,0.49,19.4
100,-5.4290718038528825,-26.951976478275075,-96.1536240254115,-20.689655172413797,-52.94117647058824,19.99999999999999,-13.048016701461378,-8.558211256746334,-4.504504504504501,-11.538461538461538,2021-01-12,Sungai Tengi,5.4,11.18,3.33,0.69,0.08,0.06,3.18,8.33,0.46,17.79
101,-3.6777583187390537,-33.61646520744854,-96.04966791799018,-25.287356321839077,-52.94117647058824,-60.0,-16.49269311064718,-9.380621948085324,-7.5075075075075075,-11.538461538461538,2021-01-13,Sungai Tengi,5.5,10.16,3.42,0.65,0.08,0.02,3.08,8.0,0.46,17.63
102,-3.3274956217162943,-35.64194707611892,-94.51342766387525,-13.793103448275861,-58.82352941176471,-80.0,-11.273486430062631,-6.964790542277035,-8.70870870870871,-9.615384615384624,2021-01-14,Sungai Tengi,5.52,9.85,4.75,0.75,0.07,0.01,3.04,8.5,0.47,18.1
103,-2.451838879159364,-13.100294021561576,-95.47213398787179,-19.540229885057474,-29.41176470588236,-40.00000000000001,-16.49269311064718,-18.529940889231554,-6.906906906906906,-5.7692307692307745,2021-01-15,Sungai Tengi,5.57,13.3,3.92,0.7,0.12,0.03,3.1,8.0,0.49,15.85
104,-3.3274956217162943,-8.199934661875199,-94.6058330926942,9.19540229885057,70.58823529411762,-20.000000000000004,-21.711899791231733,-27.98766383962991,-8.408408408408416,-5.7692307692307745,2021-01-16,Sungai Tengi,5.52,14.05,4.67,0.95,0.29,0.04,3.05,7.5,0.49,14.01
105,-1.5761821366024493,83.07742567788304,-96.24602945423042,17.241379310344833,123.52941176470587,-40.00000000000001,1.7745302713987468,-12.824466718067324,-8.108108108108109,-5.7692307692307745,2021-01-17,Sungai Tengi,5.62,28.02,3.25,1.02,0.38,0.03,3.06,9.75,0.49,16.96
106,-2.977232924693519,-6.631819666775568,-94.42102223505631,-6.896551724137924,70.58823529411762,-20.000000000000004,-14.718162839248436,-19.14674890773579,-8.70870870870871,-3.8461538461538494,2021-01-18,Sungai Tengi,5.54,14.29,4.83,0.81,0.29,0.04,3.04,8.17,0.5,15.73
107,-0.5253940455341549,-34.79255145377327,-94.42102223505631,-21.83908045977011,17.64705882352941,-40.00000000000001,-16.49269311064718,-20.483166281161655,-8.70870870870871,-3.8461538461538494,2021-01-19,Sungai Tengi,5.68,9.98,4.83,0.68,0.2,0.03,3.04,8.0,0.5,15.469999999999999
108,5.078809106830123,-56.41947076118915,-91.14062951198383,-19.540229885057474,29.411764705882344,-60.0,-25.156576200417536,-24.749421742482642,-8.70870870870871,-3.8461538461538494,2021-01-20,Sungai Tengi,6.0,6.67,7.67,0.7,0.22,0.02,3.04,7.17,0.5,14.64
109,1.4010507880910694,-37.275400196014374,-93.84348830493792,-17.241379310344833,-58.82352941176471,-40.00000000000001,-16.49269311064718,-28.296067848882032,-9.009009009009016,-3.8461538461538494,2021-01-21,Sungai Tengi,5.79,9.6,5.33,0.72,0.07,0.03,3.03,8.0,0.5,13.95
110,-0.35026269702275964,207.93858216269197,-92.11088651458273,-17.241379310344833,64.70588235294117,-60.0,39.144050104384135,6.502184528398873,-8.70870870870871,-3.8461538461538494,2021-01-22,Sungai Tengi,5.69,47.13,6.83,0.72,0.28,0.02,3.04,13.33,0.5,20.72
111,-6.479859894921193,42.89447892845476,-94.9985561651747,-16.09195402298851,288.235294117647,0.0,9.603340292275574,-0.48830634798251793,-9.009009009009016,-3.8461538461538494,2021-01-23,Sungai Tengi,5.34,21.87,4.33,0.73,0.66,0.05,3.03,10.5,0.5,19.36
112,-0.7005253940455347,21.332897745834696,-94.13225526999712,-24.137931034482754,-11.764705882352951,-60.0,-2.6096033402922756,-13.646877409406311,-8.70870870870871,-7.692307692307699,2021-01-24,Sungai Tengi,5.67,18.57,5.08,0.66,0.15,0.02,3.04,9.33,0.48,16.8
113,-1.7513134851138292,167.49428291408034,-91.14062951198383,2.2988505747126458,-41.1764705882353,-40.00000000000001,33.92484342379959,0.8481110254433446,-9.009009009009016,-7.692307692307699,2021-01-25,Sungai Tengi,5.61,40.94,7.67,0.89,0.1,0.03,3.03,12.83,0.48,19.62
